S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
55,Mathematics,Real Analysis (Full Course),,12th,English/Hindi,Module 18: Basics of Series - Sum of Series,Lecture 55 | Convergence of series & Comparison Test | R.A.| IIT JAM | CSIR NET | GATE | Vivek maths,https://www.youtube.com/watch?v=suUuwqcU_lg
56,Mathematics,Real Analysis (Full Course),,12th,English/Hindi,Module 18: Basics of Series - Sum of Series,Lecture 56 | Comparison Test | R.A.| IIT JAM | CSIR NET | GATE | Vivek maths,https://www.youtube.com/watch?v=3tDoegNfg4M
57,Mathematics,Real Analysis (Full Course),,12th,English/Hindi,Module 19: Sum of Series - Convergence of series - Comparison Test,Lecture 57 | Ratio Test and Root Test  | R.A.| IIT JAM | CSIR NET | GATE | Vivek maths,https://www.youtube.com/watch?v=TEdzJhFCtuo
58,Mathematics,Real Analysis (Full Course),,12th,English/Hindi,Module 19: Sum of Series - Convergence of series - Comparison Test,Lecture 58 | Cauchy Condensation Test  | R.A.| IIT JAM | CSIR NET | GATE | Vivek maths,https://www.youtube.com/watch?v=FtLi3WqvqV4
59,Mathematics,Real Analysis (Full Course),,12th,English/Hindi,Module 19: Sum of Series - Convergence of series - Comparison Test,Lecture 59 | Lebnitz Test  | R.A.| IIT JAM | CSIR NET | GATE | Vivek maths,https://www.youtube.com/watch?v=mrE-ehB-yFY
60,Mathematics,Real Analysis (Full Course),,12th,English/Hindi,Module 20: Ratio Test and Root Test - Cauchy Condensation Test,Lecture 60 | Power Series - 1  | R.A.| IIT JAM | CSIR NET | GATE | Vivek maths,https://www.youtube.com/watch?v=Kq3_Vfnm55w
61,Mathematics,Real Analysis (Full Course),,12th,English/Hindi,Module 20: Ratio Test and Root Test - Cauchy Condensation Test,Lecture 61 | Power Series - 2  | R.A.| IIT JAM | CSIR NET | GATE | Vivek maths,https://www.youtube.com/watch?v=jAYFm0WUo8k
62,Mathematics,Real Analysis (Full Course),,12th,English/Hindi,Module 20: Ratio Test and Root Test - Cauchy Condensation Test,Lecture 62 | Limit of Function - 1  | R.A.| IIT JAM | CSIR NET | GATE | Vivek maths,https://www.youtube.com/watch?v=ccVzCPNJrEQ
63,Mathematics,Real Analysis (Full Course),,12th,English/Hindi,Module 21: Lebnitz Test - Power Series,Lecture 63 | Sequential Criteria of Limit | R.A.| IIT JAM | CSIR NET | GATE | Vivek maths,https://www.youtube.com/watch?v=AzxD9Ke69mI
64,Mathematics,Real Analysis (Full Course),,12th,English/Hindi,Module 21: Lebnitz Test - Power Series,Lecture 64 | Sequential Criteria of Limit - 2| R.A.| IIT JAM | CSIR NET | GATE | Vivek maths,https://www.youtube.com/watch?v=dGVf9iDHs2M
65,Mathematics,Real Analysis (Full Course),,12th,English/Hindi,Module 21: Lebnitz Test - Power Series,Lecture 65 | Sequential Criteria of Limit - 3 | R.A.| IIT JAM | CSIR NET | GATE | Vivek maths,https://www.youtube.com/watch?v=P7CcSmP7zs0
66,Mathematics,Real Analysis (Full Course),,12th,English/Hindi,Module 22: Limit of Function - Sequential Criteria of Limit,Lecture 66 | Sequential Criteria of Limit - 4 | R.A.| IIT JAM | CSIR NET | GATE | Vivek maths,https://www.youtube.com/watch?v=WjvzFhsOclo
67,Mathematics,Real Analysis (Full Course),,12th,English/Hindi,Module 22: Limit of Function - Sequential Criteria of Limit,Lecture 67 | Squeeze theorem/ Sandwich theorem | R.A.| IIT JAM | CSIR NET | GATE | Vivek maths,https://www.youtube.com/watch?v=GMwoMCNyjQE
68,Mathematics,Real Analysis (Full Course),,12th,English/Hindi,Module 22: Limit of Function - Sequential Criteria of Limit,Lecture 68 | Continuous Function -1 | R.A.| IIT JAM | CSIR NET | GATE | Vivek maths,https://www.youtube.com/watch?v=DYNoJ8jsIYs
69,Mathematics,Real Analysis (Full Course),,12th,English/Hindi,Module 23: Sequential Criteria of Limit,Lecture 69 | Continuous Function -2 | R.A.| IIT JAM | CSIR NET | GATE | Vivek maths,https://www.youtube.com/watch?v=-EbB-MRklJQ
70,Mathematics,Real Analysis (Full Course),,12th,English/Hindi,Module 23: Sequential Criteria of Limit,Lecture 70 | Continuous Function -3 | R.A.| IIT JAM | CSIR NET | GATE | Vivek maths,https://www.youtube.com/watch?v=z4oQqi1oB7k
71,Mathematics,Real Analysis (Full Course),,12th,English/Hindi,Module 23: Sequential Criteria of Limit,Lecture 71 | Uniform continuity  -1 | R.A.| IIT JAM | CSIR NET | GATE | Vivek maths,https://www.youtube.com/watch?v=2x0aMaWbANw
72,Mathematics,Real Analysis (Full Course),,12th,English/Hindi,Module 24: Squeeze theorem/ Sandwich theorem - Continuous Function,Lecture 72 | Uniform continuity - 2 | R.A.| IIT JAM | CSIR NET | GATE | Vivek maths,https://www.youtube.com/watch?v=iK4jmR7i9UU
73,Mathematics,Real Analysis (Full Course),,12th,English/Hindi,Module 24: Squeeze theorem/ Sandwich theorem - Continuous Function,Lecture 73 | Uniform continuity - 3 | R.A.| IIT JAM | CSIR NET | GATE | Vivek maths,https://www.youtube.com/watch?v=b65NAqIvxqM
74,Mathematics,Real Analysis (Full Course),,12th,English/Hindi,Module 24: Squeeze theorem/ Sandwich theorem - Continuous Function,Lecture 74 | Uniform continuity - 4 | R.A.| IIT JAM | CSIR NET | GATE | Vivek maths,https://www.youtube.com/watch?v=RVSDrjEymeI
75,Mathematics,Real Analysis (Full Course),,12th,English/Hindi,Module 25: Continuous Function - Uniform continuity,Lecture 75 | Uniform continuity - 5 | R.A.| IIT JAM | CSIR NET | GATE | Vivek maths,https://www.youtube.com/watch?v=TOoLio1fD1E
76,Mathematics,Real Analysis (Full Course),,12th,English/Hindi,Module 25: Continuous Function - Uniform continuity,Lecture 76 | Uniform continuity - 6 | R.A.| IIT JAM | CSIR NET | GATE | Vivek maths,https://www.youtube.com/watch?v=hcsn8xHD8Uk
77,Mathematics,Real Analysis (Full Course),,12th,English/Hindi,Module 25: Continuous Function - Uniform continuity,Lecture 77 | Types of  discontinuity - 1 | R.A.| IIT JAM | CSIR NET | GATE | Vivek maths,https://www.youtube.com/watch?v=5tPuiat3L4k
78,Mathematics,Real Analysis (Full Course),,12th,English/Hindi,Module 26: Uniform continuity,Lecture 78 | Types of  discontinuity - 2 | R.A.| IIT JAM | CSIR NET | GATE | Vivek maths,https://www.youtube.com/watch?v=vXIOOy-KH48
