Unnamed: 0,sector,name of course,module_name,Video Title,video_link_to_embed,BASIC_ADVANCED
128,Aerospace & Aviation,Aerospace-Introduction to Helicopter Aerodynamics & Dynamics,Module 2: Helicopter Dynamics,Mod-01 Lec-09 Introduction to Helicopter Aerodynamics and Dynamics,https://www.youtube.com/watch?v=lDBOJsQEae0,ADVANCED
129,Aerospace & Aviation,Aerospace-Introduction to Helicopter Aerodynamics & Dynamics,Module 2: Helicopter Dynamics,Mod-01 Lec-10 Introduction to Helicopter Aerodynamics and Dynamics,https://www.youtube.com/watch?v=7F9eBbatqzg,ADVANCED
130,Aerospace & Aviation,Aerospace-Introduction to Helicopter Aerodynamics & Dynamics,Module 3: Aerodynamics and Dynamics,Mod-01 Lec-11 Introduction to Helicopter Aerodynamics and Dynamics,https://www.youtube.com/watch?v=N1dsy_4lnac,ADVANCED
131,Aerospace & Aviation,Aerospace-Introduction to Helicopter Aerodynamics & Dynamics,Module 3: Aerodynamics and Dynamics,Mod-01 Lec-12 Introduction to Helicopter Aerodynamics and Dynamics,https://www.youtube.com/watch?v=p6IBZlhIHt0,ADVANCED
132,Aerospace & Aviation,Aerospace-Introduction to Helicopter Aerodynamics & Dynamics,Module 3: Aerodynamics and Dynamics,Mod-01 Lec-13 Introduction to Helicopter Aerodynamics and Dynamics,https://www.youtube.com/watch?v=8nmByP9hDkY,ADVANCED
133,Aerospace & Aviation,Aerospace-Introduction to Helicopter Aerodynamics & Dynamics,Module 4: Advanced Concepts,Mod-01 Lec-14 Introduction to Helicopter Aerodynamics and Dynamics,https://www.youtube.com/watch?v=1era5e2Q3Mg,ADVANCED
134,Aerospace & Aviation,Aerospace-Introduction to Helicopter Aerodynamics & Dynamics,Module 4: Advanced Concepts,Mod-01 Lec-15 Introduction to Helicopter Aerodynamics and Dynamics,https://www.youtube.com/watch?v=dyzdCbqccV4,ADVANCED
135,Aerospace & Aviation,Aerospace-Introduction to Helicopter Aerodynamics & Dynamics,Module 4: Advanced Concepts,Mod-01 Lec-16 Introduction to Helicopter Aerodynamics and Dynamics,https://www.youtube.com/watch?v=ZHTrj2a1rMQ,ADVANCED
136,Aerospace & Aviation,Aerospace-Introduction to Helicopter Aerodynamics & Dynamics,Module 4: Advanced Concepts,Mod-01 Lec-17 Introduction to Helicopter Aerodynamics and Dynamics,https://www.youtube.com/watch?v=tNpuB12zXFQ,ADVANCED
137,Aerospace & Aviation,Aerospace-Introduction to Helicopter Aerodynamics & Dynamics,Module 5: Applications and Case Studies,Mod-01 Lec-18 Introduction to Helicopter Aerodynamics and Dynamics,https://www.youtube.com/watch?v=unUDeoxau2Y,ADVANCED
138,Aerospace & Aviation,Aerospace-Introduction to Helicopter Aerodynamics & Dynamics,Module 5: Applications and Case Studies,Mod-01 Lec-19 Introduction to Helicopter Aerodynamics and Dynamics,https://www.youtube.com/watch?v=uotprvjlifw,ADVANCED
139,Aerospace & Aviation,Aerospace-Introduction to Helicopter Aerodynamics & Dynamics,Module 5: Applications and Case Studies,Mod-01 Lec-20 Introduction to Helicopter Aerodynamics and Dynamics,https://www.youtube.com/watch?v=gCeMMR8png8,ADVANCED
140,Aerospace & Aviation,Aerospace-Introduction to Helicopter Aerodynamics & Dynamics,Module 6: Future Trends,Mod-01 Lec-21 Introduction to Helicopter Aerodynamics and Dynamics,https://www.youtube.com/watch?v=KtF4dUC7tUs,ADVANCED
141,Aerospace & Aviation,Aerospace-Introduction to Helicopter Aerodynamics & Dynamics,Module 6: Future Trends,Mod-01 Lec-22 Introduction to Helicopter Aerodynamics and Dynamics,https://www.youtube.com/watch?v=0owZHiGZ0eU,ADVANCED
142,Aerospace & Aviation,Aerospace-Introduction to Helicopter Aerodynamics & Dynamics,Module 6: Future Trends,Mod-01 Lec-23 Introduction to Helicopter Aerodynamics and Dynamics,https://www.youtube.com/watch?v=iDXH9W4LYE4,ADVANCED
143,Aerospace & Aviation,Aerospace-Introduction to Helicopter Aerodynamics & Dynamics,Module 6: Future Trends,Mod-01 Lec-24 Introduction to Helicopter Aerodynamics and Dynamics,https://www.youtube.com/watch?v=qQpMTHWAcps,ADVANCED
144,Aerospace & Aviation,Aerospace-Introduction to Helicopter Aerodynamics & Dynamics,Module 6: Future Trends,Mod-01 Lec-25 Introduction to Helicopter Aerodynamics and Dynamics,https://www.youtube.com/watch?v=DKWj2WzYXtQ,ADVANCED
