Sector,Sub Sector,Project Name,View Profile,Total Project Cost
Power and Electrical,Electrical,LAMP HOLDERS,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON LAMP HOLDERS.pdf,1020000
Automotive,Repair,Vehicle Denting & Painting,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/VehicleDentingPainting.pdf,1678000
Power and Electrical,Electrical Services,Electrical Motor Winding,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/ElectricalMotorWinding.pdf,852000
Other Sectors,Footwear,TRUMOCK SHOE WITH TPR SOLE,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON TRUMOCK SHOE WITH TPR SOLE.pdf,1952700
Other Sectors,Bioplastics,PROJECT PROFILE FOR BIODEGRADABLE PLASTIC BAGS (PLA BASED),https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/Biodegradable Plastic Bags (PLA Based).pdf,7846000
Other Sectors,Household,Wet Wipes,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/WetWipes.pdf,1743000
Retail,Store,Retailing Of Kidswear & Hosiery,/srv/YouthMissionMobile/DPR/Retailing__Of__Kidswear__&__Hosiery.pdf,950000
Food Processing,Vegetables,Tomato Puree,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/TomatoPuree.pdf,3656000
Food Processing,Pickle Manufacturing,Lime Pickle,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/LimePickle.pdf,1512000
Media & Entertainment,Signage,NEON SIGN BOARDS,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON NEON SIGN BOARDS.pdf,407000
Textile,Coir Products,CURLED COIR PRODUCTION UNIT ,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROFILE FOR CURLED COIR PRODUCTION UNIT.docx,2500000
Other Sectors,Household,COTTON MATTRESSES & PILLOW,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON COTTON MATTRESSES & PILLOW.pdf,470000
Food Processing,Dairy Products,Ghee Packaging Unit final,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/GheePackagingUni final.pdf,2478000
"Rubber, Chemical and Petrochemical",Chemicals,Sodium sulphate,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/Sodiumsulphate.pdf,2400000
Textile,Coir Products,COIR MAT/MATTING FINISHING/PACKING UNIT,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE FOR COIR MAT OR MATTING FINISHING OR PACKING UNIT.docx,1731000
"Apparel, Made-Ups & Home Furnishing",Decorative Items,Black Clay Flower Pot,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/BlackClayFlowerPot.pdf,936000
