Sector,Sub Sector,Project Name,View Profile,Total Project Cost
"Apparel, Made-Ups & Home Furnishing",Clothing Manufacturing,Jeggings,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/Jeggings.pdf,1825000
Automotive,Handicrafts,Jute bag making,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/Jutebagmaking.pdf,909000
Automotive,Handicrafts,Jute Wall Hanging,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/JuteWallHanging.pdf,1077000
Food Processing,Rice Processing,Kala Namak Chawal_DPR,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/KalaNamakChawalDPR.pdf,1866000
Food Processing,Rice Processing,Katarni Rice_DPR,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/KatarniRiceDPR.pdf,1859000
Electronics,Appliances,keyboard,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/keyboard.pdf,1103000
Electronics,Electronics Manufacturing,Keyboard,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/Keyboard.pdf,819000
"Apparel, Made-Ups & Home Furnishing",Clothing Manufacturing,Khadi Kurti,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/KhadiKurti.pdf,2383000
Food Processing,Snack Manufacturing,Khakhra Semi automatic,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/KhakhraSemiautomatic.pdf,1455000
Food Processing,Pulses Processing,Kholar(Rajma) Processing_DPR,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/KholarRajmaProcessingDPR.pdf,2450000
"Apparel, Made-Ups & Home Furnishing",Clothing Manufacturing,Kids Woolen Sweater,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/KidsWoolenSweater.pdf,667000
Food Processing,Snack Manufacturing,KISMIS/BEDANA MANACTURING (Ãƒâ€šÃ‚Â AGRO BASED FOOD PROCESSING INDUSTRYÃƒâ€šÃ‚Â ),https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON KISMISBEDANA MANACTURING.pdf,1350000
Electronics,Kitchen Appliances,Kitchen Chimney,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/KitchenChimney.pdf,2418000
Other Sectors,Textiles,knitted lace,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/knittedlace.pdf,1865000
"Apparel, Made-Ups & Home Furnishing",Clothing Manufacturing,KNITTED SOCKS (Ãƒâ€šÃ‚Â SERVICE AND TEXTILE INDUSTRYÃƒâ€šÃ‚Â ),https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON KNITTED SOCKS.pdf,752000
Food Processing,Snack Manufacturing,Kurkure,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/Kurkure.pdf,742000
Food Processing,Snacks,kurkure snacks,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/kurkuresnacks.pdf,2487000
Food Processing,Snack Manufacturing,KURKURE TYPE SNACKS (Ãƒâ€šÃ‚Â AGRO BASED FOOD PROCESSING INDUSTRYÃƒâ€šÃ‚Â ),https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON KURKURE TYPE SNACKS.pdf,2470000
Food Processing,Snack Manufacturing,KURKURE TYPE SNACKS SMALL (Ãƒâ€šÃ‚Â AGRO BASED FOOD PROCESSING INDUSTRYÃƒâ€šÃ‚Â ),https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON KURKURE TYPE SNACKS SMALL.pdf,1169000
Automotive,Handicrafts,LAC BANGLES MANUFACTURING UNIT (Ãƒâ€šÃ‚Â MINERAL BASED INDUSTRYÃƒâ€šÃ‚Â ),https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/LAC BANGLES MANUFACTURING UNIT.pdf,119000
"Apparel, Made-Ups & Home Furnishing",Clothing Manufacturing,Ladies Suit,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/LadiesSuit.pdf,2500000
"Apparel, Made-Ups & Home Furnishing",Clothing Manufacturing,Ladies Suits,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/LadiesSuits.pdf,2500000
"Apparel, Made-Ups & Home Furnishing",Clothing Manufacturing,LADY'S BLOUSE & PETTICOATS (Ãƒâ€šÃ‚Â SERVICE AND TEXTILE INDUSTRYÃƒâ€šÃ‚Â ),https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON LADY'S BLOUSE & PETTICOATS.pdf,385000
Other Sectors,Flooring,laminate wood flooring,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/LaminateWoodFlooring.pdf,2317000
Other Sectors,Glass Manufacturing,Laminated Safety Glass,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/LaminatedSafetyGlass.pdf,2022000
Other Sectors,Glass Manufacturing,LAMINATED SAFETY GLASS (Ãƒâ€šÃ‚Â MINERAL BASED INDUSTRYÃƒâ€šÃ‚Â ),https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON LAMINATED SAFETY GLASS.pdf,1245000
Electronics,Electronics Manufacturing,LAMP HOLDERS (Ãƒâ€šÃ‚Â RURAL ENGG. AND BIO-TECH INDUSTRYÃƒâ€šÃ‚Â ),https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON LAMP HOLDERS - 1.pdf,330000
Strategic Manufacturing,Cleaning Products,Laundry Soap,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/LaundrySoap.pdf,1962000
Electronics,Battery Technology,Lead acid battery,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/Leadacidbattery.pdf,2500000
Other Sectors,Stationery Manufacturing,Lead Pencil,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/LeadPencil.pdf,1985200
Other Sectors,Stationery Manufacturing,LEAD PENCILS (Ãƒâ€šÃ‚Â MINERAL BASED INDUSTRYÃƒâ€šÃ‚Â ),https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON LEAD PENCILS.pdf,875000
"Apparel, Made-Ups & Home Furnishing",Clothing Manufacturing,LEATHER APRONS (Ãƒâ€šÃ‚Â POLYMER AND CHEMICAL BASED INDUSTRYÃƒâ€šÃ‚Â ),https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON LEATHER APRONS.pdf,1125000
Other Sectors,Leather Goods,leather bag,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/leatherbag.pdf,1008000
"Apparel, Made-Ups & Home Furnishing",Accessories Manufacturing,Leather bags final,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/Leatherbagsfinal.pdf,1008000
"Sports, Physical Education, Fitness & Leisure",Cricket,Leather Cricket Ball,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/LeatherCricketBall.pdf,1571000
"Apparel, Made-Ups & Home Furnishing",Clothing Manufacturing,Leather Jackets_DPR,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/LeatherJacketsDPR.pdf,1044000
"Apparel, Made-Ups & Home Furnishing",Accessories Manufacturing,LEATHER JEWELLERY (Ãƒâ€šÃ‚Â POLYMER AND CHEMICAL BASED INDUSTRYÃƒâ€šÃ‚Â ),https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON LEATHER JEWELLERY.pdf,524000
"Apparel, Made-Ups & Home Furnishing",Accessories Manufacturing,Leather Purse_DPR,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/LeatherPurseDPR.pdf,1203000
"Apparel, Made-Ups & Home Furnishing",Footwear Manufacturing,LEATHER SANDAL WITH P.U. SOLE (Ãƒâ€šÃ‚Â POLYMER AND CHEMICAL BASED INDUSTRYÃƒâ€šÃ‚Â ),https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/LEATHER SANDAL WITH P.U.pdf,2281400
"Apparel, Made-Ups & Home Furnishing",Footwear Manufacturing,Leather shoes project,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/Leathershoesproject.pdf,2315000
"Apparel, Made-Ups & Home Furnishing",Toy Manufacturing,LEATHER TOYS (Ãƒâ€šÃ‚Â POLYMER AND CHEMICAL BASED INDUSTRYÃƒâ€šÃ‚Â ),https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON  LEATHER TOYS.pdf,1405000
"Apparel, Made-Ups & Home Furnishing",Accessories Manufacturing,Leather waist belt,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/Leatherwaistbelt.pdf,925000
"Apparel, Made-Ups & Home Furnishing",Accessories Manufacturing,Leather waist Belts,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/LeatherwaistBelts.pdf,925000
"Apparel, Made-Ups & Home Furnishing",Accessories Manufacturing,LEATHER WALLETS AND PURSES (Ãƒâ€šÃ‚Â POLYMER AND CHEMICAL BASED INDUSTRYÃƒâ€šÃ‚Â ),https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON LEATHER WALLETS AND PURSES.pdf,1660000
"Apparel, Made-Ups & Home Furnishing",Accessories Manufacturing,LEATHR BRIEFCASE (Ãƒâ€šÃ‚Â POLYMER AND CHEMICAL BASED INDUSTRYÃƒâ€šÃ‚Â ),https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON LEATHR BRIEFCASE.pdf,1504000
Electronics,Electronics Manufacturing,LED Bulb,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/LEDBulb.pdf,112000
Electronics,Electronics Manufacturing,LED Lamp assembly unit,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/LEDLampassemblyunit.pdf,2083000
Electronics,Electronics Manufacturing,LED Lighting System,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/LEDLightingSystem.pdf,1469000
Automotive,Essential Oils,Lemon Grass Oil,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/LemonGrassOil.pdf,2163000
Automotive,Makeup,LIPSTIC & KAJAL PENCIL (Ãƒâ€šÃ‚Â POLYMER AND CHEMICAL BASED INDUSTRYÃƒâ€šÃ‚Â ),https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON LIPSTIC & KAJAL PENCIL.pdf,2398000
Strategic Manufacturing,Cleaning Products,Liquid Detergent,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/LiquidDetergent.pdf,1421000
Strategic Manufacturing,Cleaning Products,LIQUID DETERGENT (Ãƒâ€šÃ‚Â POLYMER AND CHEMICAL BASED INDUSTRYÃƒâ€šÃ‚Â ),https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON LIQUID DETERGENT.pdf,400000
"Rubber, Chemical and Petrochemical",Cleaning Products,LIQUID DETERGENT (Ãƒâ€šÃ‚Â POLYMER AND CHEMICAL BASED INDUSTRYÃƒâ€šÃ‚Â ),https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON LIQUID DETERGENT.pdf,400000
HealthCare,HealthCare,Liquid Handwash,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/LiquidHandwash.pdf,335000
Strategic Manufacturing,Shoe Care,Liquid Shoe Polish,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/LiquidShoePolish.pdf,2600000
Electronics,Battery Technology,Lithium Ion Battery,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/LithiumIonBattery.pdf,2666000
Strategic Manufacturing,Hygiene Products,LLDPE Agricultural Mulch,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/LLDPEAgriculturalMulch.pdf,4278000
Automotive,Fabric,Loin Cloth_DPR,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/LoinClothDPR.pdf,1025000
Electronics,Battery Technology,LOW COST RADIO RECEIVERS (Ãƒâ€šÃ‚Â RURAL ENGG. AND BIO-TECH INDUSTRYÃƒâ€šÃ‚Â ),https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON LPG COOKING RANGE.pdf,270000
Other Sectors,Home Appliances,LPG COOKING RANGE (Ãƒâ€šÃ‚Â RURAL ENGG. AND BIO-TECH INDUSTRYÃƒâ€šÃ‚Â ),https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON LPG COOKING RANGE.pdf,270000
Other Sectors,Fabric,LPG COOKING RANGE (Ãƒâ€šÃ‚Â RURAL ENGG. AND BIO-TECH INDUSTRYÃƒâ€šÃ‚Â ),https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON LPG COOKING RANGE.pdf,270000
Automotive,Fabric,LPG COOKING RANGE (Ãƒâ€šÃ‚Â RURAL ENGG. AND BIO-TECH INDUSTRYÃƒâ€šÃ‚Â ),https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON LPG COOKING RANGE.pdf,270000
Electronics,Electrical Engineering,LT Control Panel,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/LTControlPanel.pdf,920000
Automotive,Parts,lubricant spray,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/lubricantspray.pdf,1971000
Logistics,Transportation Equipment,LUGGAGE CARRIERS (Ãƒâ€šÃ‚Â RURAL ENGG. AND BIO-TECH INDUSTRYÃƒâ€šÃ‚Â ),https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON LUGGAGE CARRIERS.pdf,512000
HealthCare,Clinic/Laboratory,M/S Advanced Diagnostic Centre,/srv/YouthMissionMobile/DPR/ADVANCED__DIAGNOSTIC__CENTRE__15__LACS.pdf,1500000
Retail,Store,M/S AIMS COLLECTION,/srv/YouthMissionMobile/DPR/AIMS__COLLECTION__READYMADE__GARMENTS____EDI__9__LACS__SGR__REVISED.pdf,900000
Other Sectors,Car Washing & Repairing,M/S Bismillah Service and Repairing,/srv/YouthMissionMobile/DPR/Car__washing__and__Repairing__8__lac.pdf,800000
Retail,Store,M/S Book House,/srv/YouthMissionMobile/DPR/BOOK__HOUSE__EDI____9.00__LACS__EDI__JMU__PRINTABLE__VERISION.pdf,900000
Agriculture,Service of Cold Storage Works,M/S CHAHAL AGRO FARMING,/srv/YouthMissionMobile/DPR/Chahal_Agro_Farming.pdf,1000000
Other Sectors,Household Chemicals,M/S Classic Manufacturing Unit,/srv/YouthMissionMobile/DPR/CLASSIC__MFR__UNIT__EDI__8.57__LACS__SGR__DETERGENT.pdf,1000000
Handicrafts and Carpet,Handicrafts,M/s Crafty Glow Embroidery (Kashmiri Art),/srv/YouthMissionMobile/DPR/Embroidery__Tilla__Work.pdf,500000
"Apparel, Made-Ups & Home Furnishing",Boutique,M/S Fancy Boutique,/srv/YouthMissionMobile/DPR/FANCY__BOUTIQUE____EDI____15__LACS__SGR.pdf,1500000
Other Sectors,Packaging Manufacturing,M/S Greenway Enterprises,/srv/YouthMissionMobile/DPR/GREENWAY__ENTERPRISES__REVISED__EDI____115__LACS__SGR.pdf,11000000
Agriculture,Beekeeping,M/S Honey Bee Kepping,/srv/YouthMissionMobile/DPR/Honey__Bee.pdf,1000000
Food Processing,Flour,M/S JK Roller Flour Mills,/srv/YouthMissionMobile/DPR/J__K__Roller__Flour__mills.pdf,53119000
Other Sectors,Jewelry,M/S Luxury Gems and Jewels,/srv/YouthMissionMobile/DPR/LUXURY__GEMS__AND__JEWELS__20__LACS__EDI__SGR__JV__(1).pdf,2000000
"Apparel, Made-Ups & Home Furnishing",Apparel,M/S M.F. READY MADE GARMENTS,/srv/YouthMissionMobile/DPR/M.F.__READY__MADE__GARMENTS__MANUFACTURE__EDI__9__LACS.pdf,900000
Retail,Store,M/S M.Y. Traders,/srv/YouthMissionMobile/DPR/M__Y__TRADERS__EDI__9__LACS__SGR.pdf,900000
Construction,Building Materials,M/S MAHADEV BATCHING PLANT,/srv/YouthMissionMobile/DPR/Mahadev__Batching__Plant.pdf,17445000
Retail,Electronics,M/S MEHRAJ ELECTRONICS,/srv/YouthMissionMobile/DPR/MEHRAJ__ELECTRONICS__(H.A)__EDI__8.57__LACS__SGR.pdf,900000
Retail,Store,M/S MIR KIRYANA,/srv/YouthMissionMobile/DPR/MIR__KIRYANA____9__LACS__EDI__SGR.pdf,900000
Construction,Building Materials,M/S Modern Mixer Shuttering,/srv/YouthMissionMobile/DPR/MODERN__MIXER__SHUTTERING__HOUSE____EDI____18__LACS__SGR.pdf,1800000
Agriculture,Poultry,M/S MOHAMMADIA GROUP OF AGRI FARMS,/srv/YouthMissionMobile/DPR/MOHAMMADIA__GROUP__OF__AGRI__FARMS____10__LACS__EDI__SGR.pdf,1000000
"Apparel, Made-Ups & Home Furnishing",Boutique,M/s NN Cutting & Tailoring,/srv/YouthMissionMobile/DPR/Boutique__2__lak.pdf,200000
Agriculture,Livestock Farming,M/S NOOR DAIRY FARM,/srv/YouthMissionMobile/DPR/Noor__Dairy__Farm.pdf,10066000
Construction,Building Materials,M/S Noor Enterprises,/srv/YouthMissionMobile/DPR/NOOR__ENTERPRISES__EDI__9.00__LACS__SGR.pdf,900000
Other Sectors,Education,M/S PLAY KASHMIR,/srv/YouthMissionMobile/DPR/PLAY__KASHMIR__(PREPORATORY__SCHOOL)__EDI__15__LACS__(REVISED)__SGR.pdf,1500000
Retail,Store,M/S ROUSE INDIA,/srv/YouthMissionMobile/DPR/ROUSE__INDIA__PAINT__AND__HARDWARE__15__LACS__EDI__SGR.pdf,1500000
Agriculture,Dairy Farming,M/s Sharma Dairy Farm,/srv/YouthMissionMobile/DPR/Dairy_Farming1.pdf,782000
Retail,Store,M/S SOLIHA CLOTH STORE,/srv/YouthMissionMobile/DPR/SOLIHA__CLOTH__STORE__EDI__8.57__LACS__SGR.pdf,857000
Food Processing,Biscuit Making,M/S The Bakers Day,/srv/YouthMissionMobile/DPR/THE__BAKERS__DAY__EDI__15__LACS__SGR.pdf,1500000
Retail,Store,M/S VIEW POINT MOBILE SALE AND SERVICE,/srv/YouthMissionMobile/DPR/VIEW__POINT__MOBILE__SALE__AND__SERVICE__edi__8.57__LACS__(1).pdf,857000
Retail,Store,M/S WAVE,/srv/YouthMissionMobile/DPR/WAVE__FOOTWARE__DISTRIBUTION____15__LACS__EDI__SGR.pdf,1500000
Other Sectors,Packaging Manufacturing,M/S Zum Zum Pack,/srv/YouthMissionMobile/DPR/ZUM__ZUM__PACK__EDI__30__LACS__SGR__REVISED.pdf,
Agriculture,Beekeeping,M/S.U.S Honey Collection,/srv/YouthMissionMobile/DPR/Bee-Keeping.pdf,1126920
Agriculture,Livestock Farming,M/SWMNOP Mule Services,/srv/YouthMissionMobile/DPR/Mule__Farm__updated.pdf,500000
Food Processing,Fruit Processing,Macroni,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/Macroni.pdf,1044000
"Apparel, Made-Ups & Home Furnishing",Textile Manufacturing,Made Ups,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/Madeups.pdf,2500000
Life Sciences,Excipients,Magnesium Stearate,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/MagnesiumStearate.pdf,2400000
Life Sciences,Excipients,Magnesium Sulphate,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/MagnesiumSulphate.pdf,2150000
Food Processing,Jam & Jelly Manufacturing,Mahua Flower Jam Unit,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/MahuaFlowerJamUnit.pdf,2424000
Food Processing,Cereal Manufacturing,MAIZE FLAKES (Ãƒâ€šÃ‚Â AGRO BASED FOOD PROCESSING INDUSTRYÃƒâ€šÃ‚Â ),https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON MAIZE FLAKES.pdf,1135000
Food Processing,Snack Manufacturing,Makhana Snacks,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/MakhanaSnacks.pdf,4056000
Food Processing,Fruit Processing,MANGO JELLY/AAM PAPAD (Ãƒâ€šÃ‚Â AGRO BASED FOOD PROCESSING INDUSTRYÃƒâ€šÃ‚Â ),https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON MANGO JELLYAAM PAPAD.pdf,1200000
Food Processing,Ayurvedic Products,"MANUFACTURE OF AYURVEDIC ASAVA, ARISTA, KWATHA, SYRUP (Ãƒâ€šÃ‚Â FOREST BASED INDUSTRYÃƒâ€šÃ‚Â )","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/MANUFACTURE OF AYURVEDIC ASAVA, ARISTA, KWATHA, SYRUP.pdf",765000
Food Processing,Ayurvedic Products,MANUFACTURE OF AYURVEDIC CAPSULE (Ãƒâ€šÃ‚Â FOREST BASED INDUSTRYÃƒâ€šÃ‚Â ),https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/MANUFACTURE OF AYURVEDIC CAPSULE.pdf,447000
Food Processing,Ayurvedic Products,MANUFACTURE OF AYURVEDIC TABLETS (Ãƒâ€šÃ‚Â FOREST BASED INDUSTRYÃƒâ€šÃ‚Â ),https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/MANUFACTURE OF AYURVEDIC TABLETS.pdf,601000
Construction,Building Materials,"Manufacture of Cement Concrete Hollow, Solid Blocks, Tiles & Interlock Pavers","/srv/YouthMissionMobile/DPR/Hollow__blocks,__Tiles__manufacturing__(__Javaid__Ah__Tantray).pdf",850000
Food Processing,Ayurvedic Products,MANUFACTURE OF MEDICATED GHEE (Ãƒâ€šÃ‚Â FOREST BASED INDUSTRYÃƒâ€šÃ‚Â ),https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/MANUFACTURE OF MEDICATED GHEE.pdf,485000
Food Processing,Ayurvedic Products,MANUFACTURE OF MEDICATED OIL (Ãƒâ€šÃ‚Â FOREST BASED INDUSTRYÃƒâ€šÃ‚Â ),https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/MANUFACTURE OF MEDICATED OIL.pdf,505000
Other Sectors,Stationery Manufacturing,MANUFACTURE OF SAFETY PINS (Ãƒâ€šÃ‚Â RURAL ENGG. AND BIO-TECH INDUSTRYÃƒâ€šÃ‚Â ),https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/MANUFACTURE OF SAFETY PINS.pdf,531000
Other Sectors,Packaging Manufacturing,Manufacturing & Printing of Non Woven Bags.,/srv/YouthMissionMobile/DPR/Manufacturing__&__Printing__of__Non__Woven__Bags.pdf,3630000
Strategic Manufacturing,Cleaning Products,MANUFACTURING OF DETERGENT POWDER & CAKE (Ãƒâ€šÃ‚Â POLYMER AND CHEMICAL BASED INDUSTRYÃƒâ€šÃ‚Â ),https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/MANUFACTURING OF DETERGENT POWDER & CAKE.pdf,1075000
Automotive,Hair Care,MANUFACTURING OF HAIR OIL (Ãƒâ€šÃ‚Â POLYMER AND CHEMICAL BASED INDUSTRYÃƒâ€šÃ‚Â ),https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/MANUFACTURING OF HAIR OIL.pdf,725000
Other Sectors,Construction Materials,Manufacturing of Hollow blocks,/srv/YouthMissionMobile/DPR/Manufacturing__of__Hollow__Blocks.pdf,700000
Food Processing,Ayurvedic Products,MANUFACTURING OF JAVADHU POWDER (Ãƒâ€šÃ‚Â FOREST BASED INDUSTRYÃƒâ€šÃ‚Â ),https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/MANUFACTURING OF JAVADHU POWDER.pdf,315500
Automotive,Cosmetics Manufacturing,MANUFACTURING OF MEHANDI (Ãƒâ€šÃ‚Â POLYMER AND CHEMICAL BASED INDUSTRYÃƒâ€šÃ‚Â ),https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/MANUFACTURING OF MEHANDI.pdf,370000
Automotive,Cosmetics Manufacturing,MANUFACTURING OF NAIL POLISH (Ãƒâ€šÃ‚Â POLYMER AND CHEMICAL BASED INDUSTRYÃƒâ€šÃ‚Â ),https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/MANUFACTURING OF NAIL POLISH.pdf,312500
Other Sectors,Paper Products,Manufacturing of Notebooks,/srv/YouthMissionMobile/DPR/Notebook__Manu__20Lac.pdf,2000000
Other Sectors,Apparel,Manufacturing of Outer wear Garments,/srv/YouthMissionMobile/DPR/Mfc__of__Garments.pdf,1500000
Other Sectors,Apparel,Manufacturing of Outer Wear Garments.,/srv/YouthMissionMobile/DPR/Manufacturing__of__Garments.pdf,1490000
Other Sectors,Paper Products,MANUFACTURING OF PAPER NAPKINS,/srv/YouthMissionMobile/DPR/Manufacturing__of__Paper__Napkins.pdf,1150000
Other Sectors,Metalworking,Manufacturing of Wire Nails,/srv/YouthMissionMobile/DPR/Manufacturing__of__Wire__Nails.pdf,2725000
Automotive,Cosmetics Manufacturing,MANUFACTURING SHELLAC INSULATING VARNISH(Air-Drying) (Ãƒâ€šÃ‚Â POLYMER AND CHEMICAL BASED INDUSTRYÃƒâ€šÃ‚Â ),https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/MANUFACTURING SHELLAC INSULATING VARNISH(Air-Drying).pdf,268525
Automotive,Handicrafts,Marble Inlay Sculpture_DPR,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/MarbleInlaySculptureDPR.pdf,1831000
Food Processing,Spice Processing,MASALA MAKING UNIT (MEDIUM) (Ãƒâ€šÃ‚Â AGRO BASED FOOD PROCESSING INDUSTRYÃƒâ€šÃ‚Â ),https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/MASALA MAKING UNIT (MEDIUM).pdf,800000
Food Processing,Beverage Manufacturing,Masala Tea Final,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/MasalaTeaFinal.pdf,1831000
Other Sectors,Cosmetics,massage oil,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/massageoil.pdf,2464000
Other Sectors,Matches Manufacturing,Matchbox Project,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/MatchboxProject.pdf,2461000
Food Processing,Condiments Manufacturing,Mayonnaise,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/Mayonnaise.pdf,1032000
Food Processing,Ayurvedic Products,Medicated Ghee,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/MedicatedGhee.pdf,1090000
Food Processing,Pharmaceuticals,Medicinal tablets,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/Medicinaltablets.pdf,2247000
