"ID","Project Name","Sector","Sub Sector","Total Project Cost","View Profile"
1,"Zari Silk Embroidery_DPR","Apparel, Made-Ups & Home Furnishing","Embroidery","1085000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/ZariSilkEmbroideryDPR.pdf"
2,"Zari Silk Embroidery_DPR","Apparel, Made-Ups & Home Furnishing","Embroidery","1085000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/ZariSilkEmbroideryDPR.pdf"
3,"Zari Silk Embroidery_DPR","Apparel, Made-Ups & Home Furnishing","Embroidery","1085000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/ZariSilkEmbroideryDPR.pdf"
4,"Yogurt","Food Processing","Dairy","3179000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/Yogurt.pdf"
5,"Yogurt","Food Processing","Dairy","3179000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/Yogurt.pdf"
6,"Yogurt","Food Processing","Dairy","3179000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/Yogurt.pdf"
7,"Yarn Twisting","Textile","Textiles","650000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/YarnTwisting.pdf"
8,"Yarn Twisting","Textile","Textiles","650000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/YarnTwisting.pdf"
9,"Yarn Twisting","Textile","Textiles","650000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/YarnTwisting.pdf"
10,"Wrought Iron Furniture","Furniture & Fittings","Furniture","2381000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/WroughtIronFurniture.pdf"
11,"Wrought Iron Furniture","Furniture & Fittings","Furniture","2381000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/WroughtIronFurniture.pdf"
12,"Wrought Iron Furniture","Furniture & Fittings","Furniture","2381000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/WroughtIronFurniture.pdf"
13,"Woolen Dari_DPR","Apparel, Made-Ups & Home Furnishing","Textiles","1112000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/WoolenDariDPR.pdf"
14,"Woolen Dari_DPR","Apparel, Made-Ups & Home Furnishing","Textiles","1112000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/WoolenDariDPR.pdf"
15,"Woolen Dari_DPR","Apparel, Made-Ups & Home Furnishing","Textiles","1112000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/WoolenDariDPR.pdf"
16,"Wood Recycling","Other Sectors","Recycling","3867000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/WoodRecycling.pdf"
17,"Wood Recycling","Other Sectors","Recycling","3867000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/WoodRecycling.pdf"
18,"Wood Recycling","Other Sectors","Recycling","3867000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/WoodRecycling.pdf"
19,"Wooden Toy making","Other Sectors","Toys","1173000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/WoodenToymaking.pdf"
20,"Wooden Toy making","Other Sectors","Toys","1173000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/WoodenToymaking.pdf"
21,"Wooden Toy making","Other Sectors","Toys","1173000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/WoodenToymaking.pdf"
22,"Wooden Furniture_DPR","Furniture & Fittings","Furniture","1366000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/WoodenFurnitureDPR.pdf"
23,"Wooden Furniture_DPR","Furniture & Fittings","Furniture","1366000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/WoodenFurnitureDPR.pdf"
24,"Wooden Furniture_DPR","Furniture & Fittings","Furniture","1366000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/WoodenFurnitureDPR.pdf"
25,"Wood cutting unit final","Furniture & Fittings","Woodworking","1199000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/Woodcuttingunitfinal.pdf"
26,"Wood cutting unit final","Furniture & Fittings","Woodworking","1199000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/Woodcuttingunitfinal.pdf"
27,"Wood cutting unit final","Furniture & Fittings","Woodworking","1199000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/Woodcuttingunitfinal.pdf"
28,"Wood Crafting Unit_DPR","Handicrafts and Carpet","Furniture","1064000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/WoodCraftingUnitDPR.pdf"
29,"Wood Crafting Unit_DPR","Handicrafts and Carpet","Furniture","1064000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/WoodCraftingUnitDPR.pdf"
30,"Wood Crafting Unit_DPR","Handicrafts and Carpet","Furniture","1064000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/WoodCraftingUnitDPR.pdf"
31,"Wood Carving","Handicrafts and Carpet","Handicrafts","2443000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/WoodCarving.pdf"
32,"Wood Carving","Handicrafts and Carpet","Handicrafts","2443000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/WoodCarving.pdf"
33,"Wood Carving","Handicrafts and Carpet","Handicrafts","2443000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/WoodCarving.pdf"
34,"Wire nail","Other Sectors","Hardware","1864000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/Wirenail.pdf"
35,"Wire nail","Other Sectors","Hardware","1864000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/Wirenail.pdf"
36,"Wire nail","Other Sectors","Hardware","1864000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/Wirenail.pdf"
37,"Wire Mesh Fencing","Other Sectors","Construction","4433000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/WireMeshFencing.pdf"
38,"Wire Mesh Fencing","Other Sectors","Construction","4433000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/WireMeshFencing.pdf"
39,"Wire Mesh Fencing","Other Sectors","Construction","4433000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/WireMeshFencing.pdf"
40,"Wireless Speaker","Electronics","Audio","2120000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/WirelessSpeaker.pdf"
41,"Wireless Speaker","Electronics","Audio","2120000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/WirelessSpeaker.pdf"
42,"Wireless Speaker","Electronics","Audio","2120000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/WirelessSpeaker.pdf"
43,"Windshield Wiper","Automotive","Accessories","1682000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/WindshieldWiper.pdf"
44,"Windshield Wiper","Automotive","Accessories","1682000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/WindshieldWiper.pdf"
45,"Windshield Wiper","Automotive","Accessories","1682000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/WindshieldWiper.pdf"
46,"White Board","Other Sectors","Stationery","2426000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/WhiteBoard.pdf"
47,"White Board","Other Sectors","Stationery","2426000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/WhiteBoard.pdf"
48,"White Board","Other Sectors","Stationery","2426000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/WhiteBoard.pdf"
49,"Wheel Rim_DPR","Other Sectors","Automotive","2328000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/WheelRimDPR.pdf"
50,"Wheel Rim_DPR","Other Sectors","Automotive","2328000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/WheelRimDPR.pdf"
51,"Wheel Rim_DPR","Other Sectors","Automotive","2328000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/WheelRimDPR.pdf"
52,"Wheel Balancing","Automotive","Repair","1168000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/Wheel Balancing.pdf"
53,"Wheel Balancing","Automotive","Repair","1168000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/Wheel Balancing.pdf"
54,"Wheel Balancing","Automotive","Repair","1168000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/Wheel Balancing.pdf"
55,"Wheat Stalk Craft final","Other Sectors","Handicrafts","939000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/WheatStalkCraftfinal.pdf"
56,"Wheat Stalk Craft final","Other Sectors","Handicrafts","939000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/WheatStalkCraftfinal.pdf"
57,"Wheat Stalk Craft final","Other Sectors","Handicrafts","939000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/WheatStalkCraftfinal.pdf"
58,"WHEAT MILL UNIT (Ã‚Â AGRO BASED FOOD PROCESSING INDUSTRYÃ‚Â )","Food Processing","Cereals","885000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/WHEAT MILL UNIT.pdf"
59,"WHEAT MILL UNIT (Ã‚Â AGRO BASED FOOD PROCESSING INDUSTRYÃ‚Â )","Food Processing","Cereals","885000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/WHEAT MILL UNIT.pdf"
60,"WHEAT MILL UNIT (Ã‚Â AGRO BASED FOOD PROCESSING INDUSTRYÃ‚Â )","Food Processing","Cereals","885000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/WHEAT MILL UNIT.pdf"
61,"Wet Wipes","Other Sectors","Household","1743000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/WetWipes.pdf"
62,"Wet Wipes","Other Sectors","Household","1743000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/WetWipes.pdf"
63,"Wet Wipes","Other Sectors","Household","1743000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/WetWipes.pdf"
64,"Wax Candles","Rubber, Chemical and Petrochemical","Chemicals","456000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/WaxCandles.pdf"
65,"Wax Candles","Rubber, Chemical and Petrochemical","Chemicals","456000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/WaxCandles.pdf"
66,"Wax Candles","Rubber, Chemical and Petrochemical","Chemicals","456000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/WaxCandles.pdf"
67,"Water Purifier Unit","Other Sectors","Household","1664000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/WaterPurifierUnit.pdf"
68,"Water Purifier Unit","Other Sectors","Household","1664000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/WaterPurifierUnit.pdf"
69,"Water Purifier Unit","Other Sectors","Household","1664000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/WaterPurifierUnit.pdf"
70,"Washing Machine_DPR","Electronics","Accessories","2054000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/WashingMachineDPR.pdf"
71,"Washing Machine_DPR","Electronics","Accessories","2054000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/WashingMachineDPR.pdf"
72,"Washing Machine_DPR","Electronics","Accessories","2054000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/WashingMachineDPR.pdf"
73,"Wash Basin_DPR","Other Sectors","Household","1575000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/WashBasinDPR.pdf"
74,"Wash Basin_DPR","Other Sectors","Household","1575000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/WashBasinDPR.pdf"
75,"Wash Basin_DPR","Other Sectors","Household","1575000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/WashBasinDPR.pdf"
76,"Walnut Processing Unit","Food Processing","Nuts","2403000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/WalnutProcessing Unit.pdf"
77,"Walnut Processing Unit","Food Processing","Nuts","2403000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/WalnutProcessing Unit.pdf"
78,"Walnut Processing Unit","Food Processing","Nuts","2403000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/WalnutProcessing Unit.pdf"
79,"Wafer Packaging Unit","Other Sectors","Packaging","856000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/WaferPackagingUnit.pdf"
80,"Wafer Packaging Unit","Other Sectors","Packaging","856000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/WaferPackagingUnit.pdf"
81,"Wafer Packaging Unit","Other Sectors","Packaging","856000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/WaferPackagingUnit.pdf"
82,"Wafer Biscuit","Food Processing","Confectionery","1212000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/WaferBiscuit.pdf"
83,"Wafer Biscuit","Food Processing","Confectionery","1212000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/WaferBiscuit.pdf"
84,"Wafer Biscuit","Food Processing","Confectionery","1212000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/WaferBiscuit.pdf"
85,"Vetiver Oil","Rubber, Chemical and Petrochemical","Chemicals","750000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/VetiverOil.pdf"
86,"Vetiver Oil","Rubber, Chemical and Petrochemical","Chemicals","750000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/VetiverOil.pdf"
87,"Vetiver Oil","Rubber, Chemical and Petrochemical","Chemicals","750000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/VetiverOil.pdf"
88,"Vermicompost","Agriculture","Agriculture","352000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/Vermicompost.pdf"
89,"Vermicompost","Agriculture","Agriculture","352000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/Vermicompost.pdf"
90,"Vermicompost","Agriculture","Agriculture","352000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/Vermicompost.pdf"
91,"Vermicelli","Food Processing","Cereals","1600000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/Vermicelli.pdf"
92,"Vermicelli","Food Processing","Cereals","1600000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/Vermicelli.pdf"
93,"Vermicelli","Food Processing","Cereals","1600000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/Vermicelli.pdf"
94,"Vehicle Repair shop","Automotive","Repair","1693000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/VehicleRepairshop.pdf"
95,"Vehicle Repair shop","Automotive","Repair","1693000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/VehicleRepairshop.pdf"
96,"Vehicle Repair shop","Automotive","Repair","1693000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/VehicleRepairshop.pdf"
97,"Vehicle Denting & Painting","Automotive","Repair","1678000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/VehicleDentingPainting.pdf"
98,"Vehicle Denting & Painting","Automotive","Repair","1678000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/VehicleDentingPainting.pdf"
99,"Vehicle Denting & Painting","Automotive","Repair","1678000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/VehicleDentingPainting.pdf"
100,"Vedic Paint (Detailed Project Report)","Other Sectors","Automotive","2487000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/VedicPaint DetailedProjectReport.pdf"
101,"Vedic Paint (Detailed Project Report)","Other Sectors","Automotive","2487000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/VedicPaint DetailedProjectReport.pdf"
102,"Vedic Paint (Detailed Project Report)","Other Sectors","Automotive","2487000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/VedicPaint DetailedProjectReport.pdf"
103,"Varnish","Rubber, Chemical and Petrochemical","Chemicals","2334000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/Varnish.pdf"
104,"Varnish","Rubber, Chemical and Petrochemical","Chemicals","2334000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/Varnish.pdf"
105,"Varnish","Rubber, Chemical and Petrochemical","Chemicals","2334000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/Varnish.pdf"
106,"Vanillin Project","Rubber, Chemical and Petrochemical","Chemicals","2744000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/VanillinProject.pdf"
107,"Vanillin Project","Rubber, Chemical and Petrochemical","Chemicals","2744000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/VanillinProject.pdf"
108,"Vanillin Project","Rubber, Chemical and Petrochemical","Chemicals","2744000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/VanillinProject.pdf"
109,"Vaccum Cleaner_DPR","Electronics","Accessories","1702000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/VaccumCleanerDPR.pdf"
110,"Vaccum Cleaner_DPR","Electronics","Accessories","1702000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/VaccumCleanerDPR.pdf"
111,"Vaccum Cleaner_DPR","Electronics","Accessories","1702000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/VaccumCleanerDPR.pdf"
112,"Utensil Cleaning Powder","Other Sectors","Household","2444000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/UtensilCleaningPowder.pdf"
113,"Utensil Cleaning Powder","Other Sectors","Household","2444000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/UtensilCleaningPowder.pdf"
114,"Utensil Cleaning Powder","Other Sectors","Household","2444000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/UtensilCleaningPowder.pdf"
115,"USB Cord","Electronics","Accessories","2403000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/USBCord.pdf"
116,"USB Cord","Electronics","Accessories","2403000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/USBCord.pdf"
117,"USB Cord","Electronics","Accessories","2403000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/USBCord.pdf"
118,"UPVC Pipes","Other Sectors","Pipes","2439000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/UPVCPipes.pdf"
119,"UPVC Pipes","Other Sectors","Pipes","2439000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/UPVCPipes.pdf"
120,"UPVC Pipes","Other Sectors","Pipes","2439000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/UPVCPipes.pdf"
121,"UPVC Doors and windows","Other Sectors","Construction","2055000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/UPVCDoorsandwindows.pdf"
122,"UPVC Doors and windows","Other Sectors","Construction","2055000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/UPVCDoorsandwindows.pdf"
123,"UPVC Doors and windows","Other Sectors","Construction","2055000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/UPVCDoorsandwindows.pdf"
124,"UPVC Doors","Other Sectors","Construction","2039000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/UPVCDoors.pdf"
125,"UPVC Doors","Other Sectors","Construction","2039000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/UPVCDoors.pdf"
126,"UPVC Doors","Other Sectors","Construction","2039000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/UPVCDoors.pdf"
127,"UPS and Stabilizers","Electronics","Components","1765460","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/UPSandStabilizers.pdf"
128,"UPS and Stabilizers","Electronics","Components","1765460","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/UPSandStabilizers.pdf"
129,"UPS and Stabilizers","Electronics","Components","1765460","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/UPSandStabilizers.pdf"
130,"Uniform","Other Sectors","Textiles","2500000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/Uniform.pdf"
131,"Uniform","Other Sectors","Textiles","2500000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/Uniform.pdf"
132,"Uniform","Other Sectors","Textiles","2500000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/Uniform.pdf"
133,"Ultramarine Blue","Rubber, Chemical and Petrochemical","Chemicals","4389000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/UltramarineBlue.pdf"
134,"Ultramarine Blue","Rubber, Chemical and Petrochemical","Chemicals","4389000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/UltramarineBlue.pdf"
135,"Ultramarine Blue","Rubber, Chemical and Petrochemical","Chemicals","4389000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/UltramarineBlue.pdf"
136,"Tyre polish","Other Sectors","Automotive","404000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/Tyrepolish.pdf"
137,"Tyre polish","Other Sectors","Automotive","404000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/Tyrepolish.pdf"
138,"Tyre polish","Other Sectors","Automotive","404000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/Tyrepolish.pdf"
139,"TYRE VULCANIZING (Ã‚Â SERVICE AND TEXTILE INDUSTRYÃ‚Â )","Other Sectors","Automotive","115000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/TYRE VULCANIZING.pdf"
140,"TYRE VULCANIZING (Ã‚Â SERVICE AND TEXTILE INDUSTRYÃ‚Â )","Other Sectors","Automotive","115000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/TYRE VULCANIZING.pdf"
141,"TYRE VULCANIZING (Ã‚Â SERVICE AND TEXTILE INDUSTRYÃ‚Â )","Other Sectors","Automotive","115000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/TYRE VULCANIZING.pdf"
142,"TWO WHEELER REPAIRING SHOP (Ã‚Â SERVICE AND TEXTILE INDUSTRYÃ‚Â )","Other Sectors","Automotive","151000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/TWO WHEELER REPAIRING SHOP.pdf"
143,"TWO WHEELER REPAIRING SHOP (Ã‚Â SERVICE AND TEXTILE INDUSTRYÃ‚Â )","Other Sectors","Automotive","151000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/TWO WHEELER REPAIRING SHOP.pdf"
144,"TWO WHEELER REPAIRING SHOP (Ã‚Â SERVICE AND TEXTILE INDUSTRYÃ‚Â )","Other Sectors","Automotive","151000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/TWO WHEELER REPAIRING SHOP.pdf"
145,"TV Remote_DPR","Electronics","Components","1938000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/TV RemoteDPR.pdf"
146,"TV Remote_DPR","Electronics","Components","1938000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/TV RemoteDPR.pdf"
147,"TV Remote_DPR","Electronics","Components","1938000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/TV RemoteDPR.pdf"
148,"Tribal Craft_DPR","Other Sectors","Handicrafts","890000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/Tribal CraftDPR.pdf"
149,"Tribal Craft_DPR","Other Sectors","Handicrafts","890000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/Tribal CraftDPR.pdf"
150,"Tribal Craft_DPR","Other Sectors","Handicrafts","890000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/Tribal CraftDPR.pdf"
151,"Tread Rubber","Other Sectors","Rubber","3767000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/TreadRubber.pdf"
152,"Tread Rubber","Other Sectors","Rubber","3767000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/TreadRubber.pdf"
153,"Tread Rubber","Other Sectors","Rubber","3767000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/TreadRubber.pdf"
154,"Track suits","Other Sectors","Textiles","2400000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/Tracksuits.pdf"
155,"Track suits","Other Sectors","Textiles","2400000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/Tracksuits.pdf"
156,"Track suits","Other Sectors","Textiles","2400000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/Tracksuits.pdf"
157,"Towel_DPR","Other Sectors","Textiles","2342000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/TowelDPR.pdf"
158,"Towel_DPR","Other Sectors","Textiles","2342000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/TowelDPR.pdf"
159,"Towel_DPR","Other Sectors","Textiles","2342000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/TowelDPR.pdf"
160,"Toothbrush","Other Sectors","Personal Care","3922000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/Toothbrush.pdf"
161,"Toothbrush","Other Sectors","Personal Care","3922000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/Toothbrush.pdf"
162,"Toothbrush","Other Sectors","Personal Care","3922000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/Toothbrush.pdf"
163,"Tomato Puree","Food Processing","Vegetables","3656000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/TomatoPuree.pdf"
164,"Tomato Puree","Food Processing","Vegetables","3656000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/TomatoPuree.pdf"
165,"Tomato Puree","Food Processing","Vegetables","3656000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/TomatoPuree.pdf"
