"ID","Project Name","Sector","Sub Sector","Total Project Cost","View Profile"
739,"MAIZE FLAKES (Ã‚Â AGRO BASED FOOD PROCESSING INDUSTRYÃ‚Â )","Food Processing","Cereal Manufacturing","1135000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON MAIZE FLAKES.pdf"
740,"MAIZE FLAKES (Ã‚Â AGRO BASED FOOD PROCESSING INDUSTRYÃ‚Â )","Food Processing","Cereal Manufacturing","1135000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON MAIZE FLAKES.pdf"
741,"MAIZE FLAKES (Ã‚Â AGRO BASED FOOD PROCESSING INDUSTRYÃ‚Â )","Food Processing","Cereal Manufacturing","1135000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON MAIZE FLAKES.pdf"
742,"LUGGAGE CARRIERS (Ã‚Â RURAL ENGG. AND BIO-TECH INDUSTRYÃ‚Â )","Other Sectors","Transportation Equipment","512000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON LUGGAGE CARRIERS.pdf"
743,"LUGGAGE CARRIERS (Ã‚Â RURAL ENGG. AND BIO-TECH INDUSTRYÃ‚Â )","Other Sectors","Transportation Equipment","512000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON LUGGAGE CARRIERS.pdf"
744,"LUGGAGE CARRIERS (Ã‚Â RURAL ENGG. AND BIO-TECH INDUSTRYÃ‚Â )","Other Sectors","Transportation Equipment","512000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON LUGGAGE CARRIERS.pdf"
745,"LPG COOKING RANGE (Ã‚Â RURAL ENGG. AND BIO-TECH INDUSTRYÃ‚Â )","Automotive","Fabric","1720000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON LPG COOKING RANGE.pdf"
746,"LOW COST RADIO RECEIVERS (Ã‚Â RURAL ENGG. AND BIO-TECH INDUSTRYÃ‚Â )","Electronics","Battery Technology","270000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON LPG COOKING RANGE.pdf"
747,"LPG COOKING RANGE (Ã‚Â RURAL ENGG. AND BIO-TECH INDUSTRYÃ‚Â )","Automotive","Fabric","1720000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON LPG COOKING RANGE.pdf"
748,"LOW COST RADIO RECEIVERS (Ã‚Â RURAL ENGG. AND BIO-TECH INDUSTRYÃ‚Â )","Electronics","Battery Technology","270000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON LPG COOKING RANGE.pdf"
749,"LPG COOKING RANGE (Ã‚Â RURAL ENGG. AND BIO-TECH INDUSTRYÃ‚Â )","Automotive","Fabric","1720000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON LPG COOKING RANGE.pdf"
750,"LOW COST RADIO RECEIVERS (Ã‚Â RURAL ENGG. AND BIO-TECH INDUSTRYÃ‚Â )","Electronics","Battery Technology","270000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON LPG COOKING RANGE.pdf"
751,"LOOKING MIRROR (Ã‚Â MINERAL BASED INDUSTRYÃ‚Â )","Strategic Manufacturing","Shoe Care","1825000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON LOOKING MIRROR.pdf"
752,"LOOKING MIRROR (Ã‚Â MINERAL BASED INDUSTRYÃ‚Â )","Strategic Manufacturing","Shoe Care","1825000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON LOOKING MIRROR.pdf"
753,"LOOKING MIRROR (Ã‚Â MINERAL BASED INDUSTRYÃ‚Â )","Strategic Manufacturing","Shoe Care","1825000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON LOOKING MIRROR.pdf"
754,"LIQUID DETERGENT (Ã‚Â POLYMER AND CHEMICAL BASED INDUSTRYÃ‚Â )","Strategic Manufacturing","Cleaning Products","400000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON LIQUID DETERGENT.pdf"
755,"LIQUID DETERGENT (Ã‚Â POLYMER AND CHEMICAL BASED INDUSTRYÃ‚Â )","Strategic Manufacturing","Cleaning Products","400000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON LIQUID DETERGENT.pdf"
756,"LIQUID DETERGENT (Ã‚Â POLYMER AND CHEMICAL BASED INDUSTRYÃ‚Â )","Strategic Manufacturing","Cleaning Products","400000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON LIQUID DETERGENT.pdf"
757,"LIQUID DETERGENT (Ã‚Â POLYMER AND CHEMICAL BASED INDUSTRYÃ‚Â )","Strategic Manufacturing","Cleaning Products","400000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON LIQUID DETERGENT.pdf"
758,"LIQUID DETERGENT (Ã‚Â POLYMER AND CHEMICAL BASED INDUSTRYÃ‚Â )","Strategic Manufacturing","Cleaning Products","400000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON LIQUID DETERGENT.pdf"
759,"LIPSTIC & KAJAL PENCIL (Ã‚Â POLYMER AND CHEMICAL BASED INDUSTRYÃ‚Â )","Automotive","Makeup","2398000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON LIPSTIC & KAJAL PENCIL.pdf"
760,"LIPSTIC & KAJAL PENCIL (Ã‚Â POLYMER AND CHEMICAL BASED INDUSTRYÃ‚Â )","Automotive","Makeup","2398000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON LIPSTIC & KAJAL PENCIL.pdf"
761,"LIPSTIC & KAJAL PENCIL (Ã‚Â POLYMER AND CHEMICAL BASED INDUSTRYÃ‚Â )","Automotive","Makeup","2398000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON LIPSTIC & KAJAL PENCIL.pdf"
762,"LIPSTIC & KAJAL PENCIL (Ã‚Â POLYMER AND CHEMICAL BASED INDUSTRYÃ‚Â )","Automotive","Makeup","2398000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON LIPSTIC & KAJAL PENCIL.pdf"
