Sector,Sub Sector,Project Name,View Profile
Power and Electrical,Electrical Manufacturing,DIGITAL PANEL METERS,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON DIGITAL PANEL METERS.pdf
"Apparel, Made-Ups & Home Furnishing",Accessories,FANCY TERRACOTTA & UTILITY ARTICLES ,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/FANCY TERRACOTTA & UTILITY ARTICLES.pdf
Food Processing,Snack Making,Snack Making,/srv/YouthMissionMobile/DPR/Ridhi__Sidhi__foods.pdf
Power and Electrical,Electrical,LAMP HOLDERS,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON LAMP HOLDERS.pdf
Automotive,Repair,Vehicle Denting & Painting,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/VehicleDentingPainting.pdf
Power and Electrical,Electrical Services,Electrical Motor Winding,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/ElectricalMotorWinding.pdf
Other Sectors,Footwear,TRUMOCK SHOE WITH TPR SOLE,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON TRUMOCK SHOE WITH TPR SOLE.pdf
Other Sectors,Bioplastics,PROJECT PROFILE FOR BIODEGRADABLE PLASTIC BAGS (PLA BASED),https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/Biodegradable Plastic Bags (PLA Based).pdf
Other Sectors,Household,Wet Wipes,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/WetWipes.pdf
Retail,Store,Retailing Of Kidswear & Hosiery,/srv/YouthMissionMobile/DPR/Retailing__Of__Kidswear__&__Hosiery.pdf
Food Processing,Vegetables,Tomato Puree,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/TomatoPuree.pdf
Food Processing,Pickle Manufacturing,Lime Pickle,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/LimePickle.pdf
Media & Entertainment,Signage,NEON SIGN BOARDS,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON NEON SIGN BOARDS.pdf
Textile,Coir Products,CURLED COIR PRODUCTION UNIT ,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROFILE FOR CURLED COIR PRODUCTION UNIT.docx
Other Sectors,Household,COTTON MATTRESSES & PILLOW,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON COTTON MATTRESSES & PILLOW.pdf
Food Processing,Dairy Products,Ghee Packaging Unit final,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/GheePackagingUni final.pdf
"Rubber, Chemical and Petrochemical",Chemicals,Sodium sulphate,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/Sodiumsulphate.pdf
Textile,Coir Products,COIR MAT/MATTING FINISHING/PACKING UNIT,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE FOR COIR MAT OR MATTING FINISHING OR PACKING UNIT.docx
"Apparel, Made-Ups & Home Furnishing",Decorative Items,Black Clay Flower Pot,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/BlackClayFlowerPot.pdf
Food Processing,Mushroom Processing,Mushroom Processing,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/MushroomProcessing.pdf
Electronics,Components,UPS and Stabilizers,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/UPSandStabilizers.pdf
Beauty & Wellness,Nail Care,Nail Polish,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/NailPolish.pdf
Electronics,Energy,Smart Energy Meter,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/SmartEnergyMeter.pdf
Other Sectors,Cleaning Products,LAUNDRY SOAP ,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON LAUNDRY SOAP.pdf
"Rubber, Chemical and Petrochemical",Lacquer,PRODUCTION OF SHELLAC VARNISH (FRENCH POLISH IMPROVED QUALITY) ,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON PRODUCTION OF SHELLAC VARNISH.pdf
Beauty & Wellness,Hair Care,MANUFACTURING OF SHAMPOO,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/MANUFACTURING OF SHAMPOO.pdf
Other Sectors,Recycling,cigarette waste cellulose fibre,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/CigaretteWasteCelluloseFibre.pdf
Other Sectors,Gas Appliances,LPG Gas Pipe,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/LPGGasPipe.pdf
Iron and Steel,Metalworking,Gun Metal Bushes,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/GunMetalBushes.pdf
Electronics,Retail Services,ELECTRONIC WEIGHING SCALES,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON ELECTRONIC WEIGHING SCALES.pdf
HealthCare,Equipment,Surgical Dresses,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/SurgicalDresses.pdf
"Rubber, Chemical and Petrochemical",Chemicals,Vanillin Project,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/VanillinProject.pdf
Logistics,Packaging Materials,Compostable bags,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/Compostablebags.pdf
Other Sectors,Household,Glass Bowl,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/GlassBowlDPR.pdf
HealthCare,Medicinal Herbs,Shatawari Processing Unit,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/ShatawariProcessingUnit.pdf
Food Processing,Fruit Processing,Mango Pulp,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/MangoPulp.pdf
Power and Electrical,Electrical Supplies,Extension Board,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/ExtensionBoard.pdf
Beauty & Wellness,Skin Care,Bath Soap,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/bathsoap.pdf
Furniture & Fittings,Furniture,STEEL FURNITURE UNIT ,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/STEEL FURNITURE UNIT.pdf
Retail,Retail,Plastic Price Tag,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PlasticPriceTag.pdf
Other Sectors,Stone Products,STONE POLISHING UNIT ,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON STONE POLISHING UNIT.pdf
Handicrafts and Carpet,Carpets,Handmade carpet,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/handmadecarpet.pdf
Power and Electrical,Electrical,Glass Bulb Shell,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/GlassBulbShellDPR.pdf
Food Processing,Flour,POWER ATTA CHAKKI,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/POWER ATTA CHAKKI.pdf
Food Processing,Cereal Processing,Isabgol,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/IsabgolDPR.pdf
Handicrafts and Carpet,Handicrafts,Tribal Craft,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/Tribal CraftDPR.pdf
Other Sectors,Household,GP Bucket,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/GPBucket.pdf
Food Processing,Beverage Manufacturing,Honey Based Beverages,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/HoneyBasedBeverages.pdf
Textile,Textile Manufacturing,Banana Silk Fabric,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/BananaSilkFabric.pdf
Media & Entertainment,Event Services,HIRING OF AUDIO SYSTEM,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/HIRING OF AUDIO SYSTEM.pdf
IT-ITeS,Service Center,Computer Hardware Service Center,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/ComputerHardwareServiceCenter.pdf
Food Processing,Snacks,crispy corn snacks,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/crispycornsnacks.pdf
"Apparel, Made-Ups & Home Furnishing",Clothing Manufacturing,LADY SUITS,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON LADY SUITS.pdf
Food Processing,Spice Processing,Garlic Powder,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/GarlicPowder.pdf
Power and Electrical,Electrical,Switch Mfg,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/SwitchMfg.pdf
Food Processing,Rice,Rubber Rice Polisher,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/RubberRicePolisher.pdf
"Rubber, Chemical and Petrochemical",Chemicals,MANUFACTURING OF AGARBATTI,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/MANUFACTURING OF AGARBATTI.pdf
Logistics,Eco-Friendly Packaging,Biodegradable Plastic Bags,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/BiodegradablePlasticBags.pdf
Food Processing,Honey Processing,Coconut Honey,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/CoconutHoney.pdf
Food Processing,Confectionery,Chikki,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/Chikki.pdf
HealthCare,Ayurvedic Products,MANUFACTURE OF AYURVEDIC CHURNA,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/MANUFACTURE OF AYURVEDIC CHURNA.pdf
Electronics,Service Center,Mobile Hardware Servicing,/srv/YouthMissionMobile/DPR/UNIQUE__MOBI__CARE__MOBILE__AND__DTP__9__LACS__EDI__SGR.pdf
Logistics,Adhesive Products,Adhesive Tapes,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/AdhesiveTapes.pdf
Electronics,Cooling Systems,Air Cooler,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/AirCooler.pdf
Automotive,Tire Manufacturing,Autombile Tyre Retreading,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/AutombileTyreRetreading.pdf
Food Processing,Fruit Processing,Jackfruit processing,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/Jackfruitprocessing.pdf
Automotive,Vehicle Parts Manufacturing,CAST IRON BRAKE DRUMS,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON CAST IRON BRAKE DRUMS.pdf
Textile,Textile Manufacturing,Blank Weaving Unit,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/BlankWeavingUnit.pdf
Life Sciences,Protective Equipment,3 Ply Mask,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/3PlyMask.pdf
Automotive,Oil Processing,4T Oil Blending Plant,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/4TLubricantsOilChemical.pdf
"Rubber, Chemical and Petrochemical",Gas Production,Acetylene Gas,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/AcetyleneGas.pdf
"Rubber, Chemical and Petrochemical",Paint,Acrylic Paints (Chemical),https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/AcrylicPaintsChemical.pdf
Media & Entertainment,Signage,Acrylic Signage Board,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/AcrylicSignageBoard.pdf
IT-ITeS,Computer Components,ADD-ON CARDS FOR COMPUTER,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/ADDONCARDSFORCOMPUTER.pdf
Life Sciences,Medical Equipment,Adjustable hospital beds,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/Adjustablehospitalbeds.pdf
"Rubber, Chemical and Petrochemical",Chemicals,Aerosol,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/Aerosol.pdf
"Rubber, Chemical and Petrochemical",Chemicals,Agarbatti,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/Agarbatti.pdf
Logistics,Packaging Materials,Air Bubble Sheet,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/AirBubbleSheet.pdf
Electronics,Cooling Systems,AIR CONDITIONER (SPLIT TYPES),https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON AIR CONDITIONER (SPLIT TYPES).pdf
Electronics,Air Filtration,Air Filter,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/AirFilter.pdf
Automotive,Suspension Systems,Air Springs,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/AirSprings.pdf
Life Sciences,Protective Equipment,Air-Pollution Mask,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/AirPollutionMask.pdf
"Rubber, Chemical and Petrochemical",Resin Manufacturing,Alkyd Resin,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/AlkydResin.pdf
Beauty & Wellness,Skin Care,All Purpose cream,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/AllPurposecream.pdf
Iron and Steel,Fasteners,Allen Screws,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/AllenScrews.pdf
Beauty & Wellness,Skin Care,Almond Cream,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/AlmondCream.pdf
Beauty & Wellness,Skin Care,ALOE VERA GEL ,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON  ALOE VERA GEL.pdf
Food Processing,Dietary Supplements,Aloevera Juice,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/AloeveraJuice.pdf
Beauty & Wellness,Skin Care,Alovera Gel mfg.,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/AloveraGelmfg.pdf
Automotive,Auto Parts Manufacturing,ALTERNATORS FOR AUTOMOBILES,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON ALTERNATORS FOR AUTOMOBILES.pdf
"Rubber, Chemical and Petrochemical",Chemical Compounds,Alum,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/Alum.pdf
"Rubber, Chemical and Petrochemical",Chemical Compounds,Alum (Phitkari) Manufacturing,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/AlumPhitkariManufacturing.pdf
Other Sectors,Metal Fabrication,ALUMINIUM CANS,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON ALUMINIUM CANS.pdf
Construction,Metal Casting,Aluminium Castings Project,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/AluminiumCastingsProject.pdf
Construction,Metal Fabrication,ALUMINIUM FABRICATION,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON ALUMINIUM FABRICATION.pdf
Construction,Metal Fabrication,Aluminium Fabrication,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/AluminiumFabrictaion.pdf
