Sector,Sub Sector,Project Name,View Profile
Other Sectors,Stationery Manufacturing,Chalk making,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/Chalkmaking.pdf
Food Processing,Beverages,chamomile tea,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/chamomileTea.pdf
Food Processing,Bakery,Chapati Making Machine,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/Chapatimakingmachine.pdf
Beauty & Wellness,Beauty,Charcoal body wash,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/CharcoalBodyWash.pdf
Beauty & Wellness,Skin Care,Charcoal Facewash,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/CharcoalFacewash.pdf
Food Processing,Dairy,cheese slice,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/CheeseSlice.pdf
Handicrafts and Carpet,Woodworking,CHEMICAL ETCHING ON WOOD,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON CHEMICAL ETCHING ON WOOD.pdf
Construction,Construction Materials,CHEMICAL PORCELAIN (MBI),https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON CHEMICAL PORCELAIN (MBI).pdf
Food Processing,Seed & Grain Processing,Chia Seeds,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/ChiaSeeds.pdf
Food Processing,Poultry Processing,Chicken Nuggets,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/ChickenNuggets.pdf
Food Processing,Grain Processing,Chickpea(White Chole),https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/ChickpeaWhiteChole.pdf
Food Processing,Pulses,chickpeas,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/chickpeas.pdf
Food Processing,Beverage Manufacturing,Chicory Powder,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/ChicoryPowder.pdf
"Apparel, Made-Ups & Home Furnishing",Embroidery,Chikankari work unit,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/Chikankariworkunit.pdf
"Apparel, Made-Ups & Home Furnishing",Children's Clothing,CHILDREN GARMENTS,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON CHILDREN GARMENTS.pdf
Other Sectors,Children's Shoes,CHILDREN SHOE,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON CHILDREN SHOE.pdf
Food Processing,Spice Processing,Chilli Powder,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/ChilliPowder.pdf
Food Processing,Seed Processing,Chironji Processing,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/ChironjiProcessing.pdf
Water Management and Plumbing,Water Purification,Chlorine Tablets,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/ChlorineTablets.pdf
Food Processing,Dairy Products,Chocolate Milk,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/ChocolateMilk.pdf
Iron and Steel,Plating,Chrome Plating,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/ChromePlating.pdf
Other Sectors,Paper Manufacturing,Cigarette paper,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/CigarettePaper.pdf
Other Sectors,Recycling,cigarette waste plastic pellets,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/CigaretteWastePlasticPellets.pdf
Food Processing,Spice Processing,Cinnamon Powder,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/CinnamonPowder.pdf
Beauty & Wellness,Essential Oils,Citronella Oil,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/CitronellaOil.pdf
Construction,Construction Materials,Clay Bricks,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/ClayBricks.pdf
Construction,Construction Materials,CLC Blocks Manufacturing,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/CLCBlocksManufacturing.pdf
"Rubber, Chemical and Petrochemical",Household Cleaning,CLEANING POWDER,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON CLEANING POWDER.pdf
Beauty & Wellness,Accessories,Clutcher,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/Clutcher.pdf
Food Processing,Dairy Products,Coconut Milk,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/CoconutMilk.pdf
Food Processing,Oil Processing,COCONUT OIL AND OIL CAKE MANUAFCURING ,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON COCONUT OIL AND OIL CAKE MANUAFCURING.pdf
Food Processing,Dairy Products,Coffee Flavoured Milk,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/CoffeeFlavouredMilk.pdf
Beauty & Wellness,Skin Care,Coffee Scrub,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/CoffeeScrub.pdf
Textile,Textile Manufacturing,Coir Brush Making,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/CoirBrushMaking.pdf
Textile,Textile Manufacturing,Coir Fibre Extraction Unit,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/CoirFibreExtractionUnit.pdf
Textile,Textile Manufacturing,coir garden pot,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/CoirGardenPot.pdf
Textile,Textile Manufacturing,Coir Matting Unit,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/CoirMattingUnit.pdf
Textile,Textile Manufacturing,Coir Mattress,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/CoirMattress.pdf
Logistics,Packaging Materials,Coir Moulded Tray making,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/CoirMouldedTraymaking.pdf
Agriculture,Composting,Coir Pith Block making unit,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/CoirPithBlockmakingunit.pdf
Agriculture,Cooling & Ventilation,Cold Room,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/ColdRoom.pdf
Food Processing,Oil Processing,Coldpress Coconut Oil,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/ColdpressCoconutOil.pdf
Food Processing,Oil Processing,Coldpress Seasame Oil,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/ColdpressSeasameOil.pdf
"Apparel, Made-Ups & Home Furnishing",Coloring & Dyeing,Coloring and Dyeing_DPR,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/ColoringandDyeingDPR.pdf
Agriculture,Honey Processing,HONEY COMB FOUNDATION UNIT,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/COMB FOUNDATION UNIT.pdf
Agriculture,Beekeeping,COMMERCIAL APIARY UNIT,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/COMMERCIAL APIARY UNIT (100 Bee Colonies of Apis cerana).pdf
Agriculture,Beekeeping,COMMERCIAL APIARY UNIT,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/COMMERCIAL APIARY UNIT (100 Bee Colonies of Apis Mellifera).pdf
Food Processing,Spice Processing,COMPOUND ASAFOETIDIA (HING),https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/COMPOUND ASAFOETIDIA (HING).pdf
IT-ITeS,IT Services,COMPUTER MAINTENANCE AND SERVICING UNIT,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/COMPUTER MAINTENANCE AND SERVICING UNIT.pdf
Other Sectors,Stationery Manufacturing,Computer Stationery,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/ComputerStationery.pdf
Media & Entertainment,Advertising,COMPUTERIZED ADVERTISEMENT DESIGN ,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/COMPUTERIZED ADVERTISEMENT DESIGN.pdf
Iron and Steel,Security Products,Concertina Wire,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/ConcertinaWire.pdf
Food Processing,Confectionery,Confectionery_agro,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/Confectioneryagro.pdf
Automotive,Vehicle Parts,Connecting Rod,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/ConnectingRod.pdf
Electronics,Appliances,cooler pump,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/CoolerPump.pdf
Iron and Steel,Kitchenware,Copper Bottles & Jugs,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/CopperBottles&Jugs.pdf
Iron and Steel,Metalworking,Copper Powder,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/CopperPowder.pdf
Electronics,Communication Devices,Cordless Phone,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/CordlessPhone.pdf
Food Processing,Spice Processing,Coriander Powder final,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/CorianderPowderfinal.pdf
Food Processing,Spice Processing,Coriander Seeds,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/CorianderSeeds .pdf
Food Processing,Snack Manufacturing,Corn Puff Unit,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/CornPuffUnit.pdf
Logistics,Packaging Materials,Corrugated Boxes,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/CorrugatedBoxes.pdf
Textile,Textile Manufacturing,Cotton Bags,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/CottonBags.pdf
Textile,Textile Services,"COTTON LACES, FILE TAGES & COTTON TAPES","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON COTTON LACES, FILE TAGES & COTTON TAPES.pdf"
Beauty & Wellness,Personal Care,Cotton Swabs,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/CottonSwabs.pdf
Other Sectors,Household Items,Cotton Wicks,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/CottonWicks.pdf
Other Sectors,Stationery,crayons,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/crayons.pdf
"Sports, Physical Education, Fitness & Leisure",Sports Equipment Manufacturing,CRICKET BALLS,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON CRICKET BALLS.pdf
"Sports, Physical Education, Fitness & Leisure",Sports Equipment,Cricket Bat,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/CricketBat.pdf
"Sports, Physical Education, Fitness & Leisure",Equipment,cricket bat,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/CricketBat.pdf
"Sports, Physical Education, Fitness & Leisure",Sports Equipment Manufacturing,CRICKET BATS,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON CRICKET BATS.pdf
"Sports, Physical Education, Fitness & Leisure",Equipment,cricket gloves,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/CricketGloves.pdf
Food Processing,Snack Manufacturing,Crispy Corn Snacks,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/CrispyCornSnacks.pdf
Agriculture,Horticulture,Cultivation of High Density Apple Orchard,/srv/YouthMissionMobile/DPR/Cultivation__of__High__density__Orchard.pdf
Food Processing,Biscuit Making,Cumin Biscuit (Jeera Biscuit) Final,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/CuminBiscuitJeeraBiscuitFinal.pdf
Food Processing,Spice Processing,Cumin Cleaning & Processing Unit,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/CuminCleaning&ProcessingUnit.pdf
Food Processing,Spices,cumin powder final,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/cuminpowderfinal.pdf
Food Processing,Dairy Products,Curd unit,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/Curdunit.pdf
Textile,Textile Manufacturing,Curled Coir Rope,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/CurledCoirRope.pdf
Textile,Textile Manufacturing,Curtain Making_DPR,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/CurtainMakingDPR.pdf
Textile,Textile Manufacturing,Cushion Cover_DPR,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/CushionCoverDPR.pdf
IT-ITeS,IT Services,CYBER CAFÉ,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/CYBER CAFE & BACK OFFICE SERVICES.pdf
Agriculture,Livestock Farming,Dairy Farm Cow,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/DairyFarmCow.pdf
Agriculture,Livestock Farming,Dairy Farm Unit (Buffalo),https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/DairyFarmUnitBuffalo.pdf
Agriculture,Dairy Farming,Dairy Farming,/srv/YouthMissionMobile/DPR/Dairy__Farm__updated.pdf
Agriculture,Dairy Farming,Dairy Farming,/srv/YouthMissionMobile/DPR/Dairy__Farm__SEI__20Lac.pdf
Agriculture,Dairy Farming,Dairy Farming,/srv/YouthMissionMobile/DPR/Dairy__Farming.pdf
Food Processing,Grain Processing,Dal mill,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/Dalmill.pdf
Food Processing,Cereal Manufacturing,Daliya manufacturing,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/Daliyamanufacturing.pdf
Food Processing,Cereal Manufacturing,DALIYA MANUFACTURING UNIT,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/DALIYA MANUFACTURING UNIT.pdf
Food Processing,Pickle Making,Dalley Khorsani Pickle,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/DalleyKhorsaniPickle.pdf
Other Sectors,Glass Manufacturing,DECORATIVE GLASSWARE ,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON DECORATIVE GLASSWARE.pdf
Food Processing,Vegetable Processing,Dehydrated Vegetables,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/DehydratedVegetables.pdf
"Apparel, Made-Ups & Home Furnishing",Clothing Manufacturing,Denim Garments,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/DenimGarments.pdf
Retail,Store,Departmental Store,/srv/YouthMissionMobile/DPR/Departmental__Store__20Lakh__New.pdf
Retail,Store,Departmental Store,/srv/YouthMissionMobile/DPR/Departmental__Store.pdf
Retail,Store,Departmental/General Store,/srv/YouthMissionMobile/DPR/General__Store__5Lac.pdf
Food Processing,Coconut Processing,Desiccated Coconut Powder,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/DesiccatedCoconutPowder.pdf
Other Sectors,Cleaning Products,Detergent cake,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/Detergentcake.pdf
Other Sectors,Cleaning Products,Detergent Powder,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/DetergentPowder.pdf
Other Sectors,Pooja Items,Dhoop Batti,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/DhoopBatti.pdf
HealthCare,Clinic/Laboratory,Diagonastic Laboratory,/srv/YouthMissionMobile/DPR/Diagnostic__Lab__5__Lac__Start-up.pdf
"Rubber, Chemical and Petrochemical",Chemicals,diatomaceous earth powder,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/diatomaceousearthpowder.pdf
Electronics,Electronics Manufacturing,DIGITAL CLOCK,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON DIGITAL CLOCK .pdf
Strategic Manufacturing,Disposable Items,Disposable Plates & Dona,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/DisposablePlatesDona.pdf
Retail,Store,"Distribution of Oil, Tea, Spices and Dry Fruits",/srv/YouthMissionMobile/DPR/Distribution__of__oil__tea__spices__and__dry__fruits.pdf
Domestic Works,Pet Services,Dog grooming centre,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/DogGroomingCentre.pdf
Electronics,Electronics Manufacturing,DOMESTIC ELECTRONIC TIMER,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON DOMESTIC ELECTRONIC TIMER.pdf
Strategic Manufacturing,Kitchen Appliances,Domestic Pressure Cooker,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/DomesticPressureCooker.pdf
Other Sectors,Hardware,door closer,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/DoorCloser.pdf
Other Sectors,Stationery Manufacturing,DRAWING BOARDS,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON DRAWING BOARDS.pdf
Other Sectors,Laundry Services,Dry Cleaners,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/DryCleaners.pdf
Strategic Manufacturing,Painting Products,Dry Distemper,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/DryDistemper.pdf
Other Sectors,Handicrafts,dry flower,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/DryFlower.pdf
Electronics,DTP Centre,DTP Centre,/srv/YouthMissionMobile/DPR/Desk__Top__Publishing__centre__(__Wasim__Ah__Naik).pdf
Electronics,DTP Centre,DTP Centre & Stationary Shop,/srv/YouthMissionMobile/DPR/DTP__Centre__&__Stationary__Shop.pdf
Other Sectors,Education,Education Consultancy,/srv/YouthMissionMobile/DPR/Education__Consultancy.pdf
Food Processing,Packaging Materials,Egg tray,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/Eggtray.pdf
Electronics,Electronics Manufacturing,ELCTRONIC CALCULATORS (POCKET/DESK TOP) ,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON ELCTRONIC CALCULATORS (POCKETDESK TOP).pdf
Electronics,Electronics Manufacturing,Electric Door Chimes,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/ElectricDoorChimes.pdf
Automotive,Accessories,electric horns,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/ElectricHorns.pdf
Electronics,Home Appliances,Electric Kettle,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/ElectricKettle.pdf
Electronics,Home Appliances,Electric Tandoor,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/ElectricTandoor.pdf
Strategic Manufacturing,Kitchen Appliances,ELECTRIC TANDOOR,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/ELECTRIC TANDOOR.pdf
Electronics,Home Appliances,Electric Toaster,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/ElectricToaster.pdf
Other Sectors,Maintenance & Repair,ELECTRO STATIC POWDER COATING ,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/ELECTRO STATIC POWDER COATING.pdf
Other Sectors,Metalworking,ELECTROLESS NICKEL PLATING,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON ELECTROLESS NICKEL PLATING.pdf
Strategic Manufacturing,Home Security,ELECTRONIC DOOR BELLS,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON ELECTRONIC DOOR BELLS.pdf
Strategic Manufacturing,Kitchen Appliances,ELECTRONIC GAS LIGHTERS,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/ELECTRONIC GAS LIGHTERS.pdf
Other Sectors,Maintenance & Repair,ELECTRONIC REPAIR UNIT,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/ELECTRONIC REPAIR UNIT.pdf
Other Sectors,Testing Equipment,ELECTRONIC VIBRATION METERS/ANALYZER ,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON ELECTRONIC VIBRATION METERSANALYZER.pdf
Other Sectors,Weighing Scales,ELECTRONIC WEIGHING MACHINE ,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON ELECTRONIC WEIGHING MACHINE.pdf
Electronics,Electronics Manufacturing,Electronic Weighing Scale,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/ElectronicWeighingScale.pdf
"Rubber, Chemical and Petrochemical",Chemicals,enamel paints,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/EnamelPaints.pdf
Food Processing,Food Manufacturing,Energy Foods,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/EnergyFoods.pdf
Automotive,Vehicle Maintenance,Engine Coolant,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/EngineCoolant.pdf
Automotive,Vehicle Parts,ENGINE MOUNTING-RUBBER BONDED,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON ENGINE MOUNTING-RUBBER BONDED.pdf
Other Sectors,Stationery,envelope manufacturing unit,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/EnvelopeManufacturingUnit.pdf
Other Sectors,Food Services,ESTABLISHMENT OF DHABA,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/ESTABLISHMENT OF DHABA.pdf
Agriculture,Dairy Products,Evaporated Milk,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/EvaporatedMilk.pdf
Electronics,Cooling Systems,EXHAUST FANS,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON EXHAUST FANS.pdf
Food Processing,Snack Manufacturing,EXTRUDED SNACKS ,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON EXTRUDED SNACKS.pdf
Construction,Handicrafts,Fabrication of Devri Stones,/srv/YouthMissionMobile/DPR/Fabrication__of__Devri__Stones.pdf
Other Sectors,Metalworking,Fabrication of Grills,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/FabricationofGrills.pdf
Automotive,Skin Care,FACE CREAM AND CLEANSING LOTION ,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON FACE CREAM AND CLEANSING LOTION.pdf
Automotive,Skin Care,Face wash,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/Facewash.pdf
"Apparel, Made-Ups & Home Furnishing",Accessories,FANCY LEATHER GLOVES,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON FANCY LEATHER GLOVES.pdf
Food Processing,Snack Manufacturing,Fastfood/Restaurant,/srv/YouthMissionMobile/DPR/Fast__food__Restaurant__10lac.pdf
"Sports, Physical Education, Fitness & Leisure",Sports Equipment Manufacturing,Feather Shuttle cock,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/FeatherShuttlecock.pdf
Food Processing,Spice Processing,Fenugreek Powder,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/FenugreekPowder.pdf
Agriculture,Fiber Processing,Fibre Extraction_DPR,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/FibreExtractionDPR.pdf
Other Sectors,Maintenance & Repair,FILTERS FOR AIR CONDITIONERS SERVICE,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON FILTERS FOR AIR CONDITIONERS SERVICE.pdf
Media & Entertainment,Printing & Publishing,Flex Printing Business,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/FlexPrintingBusiness.pdf
Strategic Manufacturing,Cleaning Products,Floor cleaner,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/Floorcleaner.pdf
Strategic Manufacturing,Cleaning Products,FLOOR POLISH,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON FLOOR POLISH.pdf
Strategic Manufacturing,Cleaning,floor wiper,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/floorwiper.pdf
Agriculture,Floriculture,Floriculture (Gerbera),/srv/YouthMissionMobile/DPR/Floriculture__(Gerbera).pdf
Food Processing,Grain Processing,Flour Mill,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/FlourMill.pdf
Other Sectors,Recycling,flowers recycled to compost,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/flowersrecycledtoCompost.pdf
Media & Entertainment,Musical Instruments,Flute Making Unit,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/FluteMakingUnit.pdf
Automotive,Construction Materials,FLY ASH BRICKS,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON FLY ASH BRICKS.pdf
Furniture & Fittings,Furniture,Foam Mattress,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/FoamMattress.pdf
Logistics,Packaging Materials,Food Storage Containers,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/FoodStorageContainers.pdf
Food Processing,Medical Equipment,Foot Pedalled Sanitizer,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/FootPedalledSanitizer.pdf
"Apparel, Made-Ups & Home Furnishing",Footwear Manufacturing,FOOT WEAR & LEATHER,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON FOOT WEAR & LEATHER .pdf
Other Sectors,Metalworking,FORGING BLANKS FOR SPUR GEARS,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON FORGING BLANKS FOR SPUR GEARS.pdf
Food Processing,Snack Manufacturing,French Fries,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/FrenchFries.pdf
Food Processing,Dairy,frozen yogurt,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/frozenyogurt.pdf
Food Processing,Snack Manufacturing,FRUIT BARS,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON FRUIT BARS.pdf
Food Processing,Vinegar Manufacturing,Fruit Vinegar,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/FruitVinegar.pdf
Food Processing,Snack Manufacturing,FRYMES MANUFACTURING UNIT ,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/FRYMES MANUFACTURING UNIT.pdf
Other Sectors,Household,Furnishing Shop,/srv/YouthMissionMobile/DPR/Furnishing__5lac__DPR.pdf
