"Sr. No.","Sector","Name Of Course","Online","Duration","Required Age","Minimum Education","Requisites","Language","Required Description","For Certification Advanced Module","Video Link To Embed","Project Under Hadp","Skill Training Course","Title Of Lectures","Link Kashmiri Video","Link Urdu Video","Link Dogri Video","Link Hindi Video","Course Language"
396,"Personal Development","Safety Practices","Free","02:00 hours","Any","No Formal Education required","NA","English","The Safety Practices module is designed to provide learners with essential knowledge and skills to ensure the safety and well-being of individuals and the environment. This module consists of two comprehensive lessons: ""Basic First Aid"" and ""Health, Environment, and Safety Awareness."" The module is suitable for a wide range of learners, including individuals looking to acquire basic first aid skills and those interested in understanding and promoting health, environmental sustainability.","https://www.skillindiadigital.gov.in/courses/detail/a31300bc-8ea6-43dc-a505-a688df2354a3",null,null,null,null,null,null,null,null,null
397,"Personal Development","Interpersonal Skills","Free","11:00 hours","Any","No Formal Education required","NA","English","In this course, you will learn about dealing with conflicts, understanding different viewpoints, and how to resolve conflicts to keep relationships strong. You will also discover the power of negotiation, building good relationships with others, effective communication, and comparing products and services. By the end of this course, you will be better at managing conflicts, understanding people, and working together as a team.","https://www.skillindiadigital.gov.in/courses/detail/d51ac16c-9322-408c-9277-1e3a5ea3eac5",null,null,null,null,null,null,null,null,null
398,"Personal Development","Financial Literacy","Free","06:25 hours","Any","No Formal Education required","NA","English","In this course, you will learn the importance of banking and various types of bank accounts and their purpose. You will also learn how to open a bank account. You will gain valuable insights into the principles of money management and its significant role in ensuring financial well-being & also learn the different components commonly found in salary slips.","https://www.skillindiadigital.gov.in/courses/detail/310a23d4-4dc1-444b-9f8e-6d81685697a8",null,null,null,null,null,null,null,null,null
399,"Personal Development","Entrepreneurial Mindset","Free","18:00 hours","Any","No Formal Education required","NA","English","Outshine your entrepreneurial spirit with our Entrepreneurship Development Program. Dive deep into essential skills, mindset, and real-world insights, empowering you to confidently navigate the challenges and seize opportunities in the dynamic world of business. ","https://www.skillindiadigital.gov.in/courses/detail/fa229494-d580-4133-889f-3d002c3a2b21",null,null,null,null,null,null,null,null,null
400,"Personal Development","Self Presentation","Free","05:00 hours","Any","No Formal Education required","NA","English","Learn to present yourself with confidence and authority in any situation with our Self-Presentation module. This course covers non-verbal communication, making a great first impression, excelling at interviews and group discussions.","https://www.skillindiadigital.gov.in/courses/detail/cc7ec099-7790-4be6-a23d-0a09e9d2271b",null,null,null,null,null,null,null,null,null
401,"Personal Development","Impactful Writing Skills","Free","08:00 hours","Any","No Formal Education required","NA","English","Unlock the power of words with our Impactful Writing Skills module. Learn to craft compelling sentences, express your personal experiences and thoughts, write with a clear purpose, and more. Gain the skills needed to create impactful written content in various formats, from emails to resumes to reports.","https://www.skillindiadigital.gov.in/courses/detail/9ee0e603-b39f-49de-aefd-95d627d8b65b",null,null,null,null,null,null,null,null,null
402,"Personal Development","Effective Speaking Skills","Free","09:00 hours","Any","No Formal Education required","NA","English","Improve your communication skills and achieve success with our Effective Speaking Skills module. Learn the basics of effective communication, including greetings, phone conversations, and making requests. Discover how to communicate assertively, collaborate effectively, and use techniques for presenting and seeking opinions. These skills will help you excel in workplace conversations and buyer-seller interactions, ensuring you can communicate confidently and effectively in any situation.","https://www.skillindiadigital.gov.in/courses/detail/28a8d3bd-9377-471b-ae0d-e3a64ccde7c8",null,null,null,null,null,null,null,null,null
403,"Personal Development","Employability Skills (ES-90 hours)","Free","90:00 hours","Na","Na","Na","English","Welcome to the Employability Skills Course. You will find simple, fun and short digital lessons on all the topics in your Employability Skills curriculum. View these digital lessons as many times as you need to feel confident about a topic. Complete the questions, activities and tasks mentioned in the digital lesson to develop your skills faster. Complete the Employability Skills Course to become a confident self-learner, with the power to build your own career path in the 21st century!All the best.Happy learning!","https://www.skillindiadigital.gov.in/courses/detail/6d67e2e5-0f40-4c3e-8843-1b5154c5123e",null,null,null,null,null,null,null,null,null
404,"Personal Development","Employability Skills (ES-60 hours)","Free","60:00 hours","Na","Na","Na","English","Welcome to the Employability Skills Course. You will find simple, fun and short digital lessons on all the topics in your Employability Skills curriculum. View these digital lessons as many times as you need to feel confident about a topic. Complete the questions, activities and tasks mentioned in the digital lesson to develop your skills faster. Complete the Employability Skills Course to become a confident self-learner, with the power to build your own career path in the 21st century!All the best.Happy learning!","https://www.skillindiadigital.gov.in/courses/detail/08458ef8-4355-42b1-b780-0158e771a043",null,null,null,null,null,null,null,null,null
405,"Personal Development","Employability Skills (ES-30 hours)","Free","30:00 hours","Na","Na","Na","English","Welcome to the Employability Skills Course. You will find simple, fun and short digital lessons on all the topics in your Employability Skills curriculum. View these digital lessons as many times as you need to feel confident about a topic. Complete the questions, activities and tasks mentioned in the digital lesson to develop your skills faster. Complete the Employability Skills Course to become a confident self-learner, with the power to build your own career path in the 21st century!All the best.Happy learning!","https://www.skillindiadigital.gov.in/courses/detail/133fae1b-2c38-4d20-a151-83da42ca8712",null,null,null,null,null,null,null,null,null
406,"Personal Development","Employability Skills (ES-120 hours)","Free","120:00 hours","NA","NA","NA","English","Welcome to the Employability Skills Course. You will find simple, fun and short digital lessons on all the topics in your Employability Skills curriculum. View these digital lessons as many times as you need to feel confident about a topic. Complete the questions, activities and tasks mentioned in the digital lesson to develop your skills faster. Complete the Employability Skills Course to become a confident self-learner, with the power to build your own career path in the 21st century!All the best.Happy learning!","https://www.skillindiadigital.gov.in/courses/detail/c3728876-f0ce-4c72-8ecb-323a482f9f2a",null,null,null,null,null,null,null,null,null
407,"Retailers Association's","Super Power Retailer Training Program","Free","012:00 hours","Above 18","No Formal Education required","NA","Hindi","This online course precedes a 2 hours of offline training facilitated by Coca-Cola team for the small and micro-retailers across the nation. Post successful completion of offline training, the candidates will undergo 12-hours online training by enrolling in this course. Through this course, the retailers will gain insights on enhancing the customer experience; profitably managing their inventory, leveraging technology to enhance their day-to-day business operations and  financial concepts.","https://www.skillindiadigital.gov.in/courses/detail/45e5dfa0-b389-461b-8467-dae0f26c3bca",null,null,null,null,null,null,null,null,null
408,"Retailers Association's","Service Fulfilment Executive(Version 1.0 & 3.0)","Free","05:00 hours","Any","Grade 10 with No Experience required","1 year relevant experience","English","This course addresses the domain NOSs. This individual in the job role receives & stores goods in retail operations, processes customer orders and delivers the products to the customers at their premises in Retail operations and e-commerce working environment.  S/he engages with the customer for various transactions like accepting and processing payments, customer queries, and product returns.","https://www.skillindiadigital.gov.in/courses/detail/b8184d08-fbb1-4ba5-b123-82b1413a0daa",null,null,null,null,null,null,null,null,null
409,"Retailers Association's","Retail Sales Specialist Cum Cashier(Version 1.0 & 3.0 )","Free","08:51 hours","Any","12th grade pass with No Experience Required OR Completed 2nd year of 3-year diploma (after 10th) and pursuing regular diploma with No Experience Required OR 10th grade pass plus 2-year NTC with No Experience Required","NA","English","This course addresses the domain NOSs.Individuals in this position interact with customers by giving specialized service and product demonstrations to maximize business in a retail environment whilst striving for continuous improvements in levels of services rendered. They also provide service at the cashiering point by processing payments towards purchases made by customers.","https://www.skillindiadigital.gov.in/courses/detail/c59d8f1d-35e7-4b3d-a68b-ea4dee086d38",null,null,null,null,null,null,null,null,null
410,"Retailers Association's","Retail Sales Specialist Cum Cashier(Hindi)(V1.0 & 3.0 )","Free","08:51 hours","Any","12th grade pass with No Experience Required OR Completed 2nd year of 3-year diploma (after 10th) and pursuing regular diploma with No Experience Required OR 10th grade pass plus 2-year NTC with No Experience Required","NA","Hindi","This course addresses the domain NOSs.Individuals in this position interact with customers by giving specialized service and product demonstrations to maximize business in a retail environment whilst striving for continuous improvements in levels of services rendered. They also provide service at the cashiering point by processing payments towards purchases made by customers.","https://www.skillindiadigital.gov.in/courses/detail/1f5bf8db-924f-43cb-bb80-9f652d812627",null,null,null,null,null,null,null,null,null
411,"Retailers Association's","Service Fulfilment Executive(Hindi)(V1.0 & 3.0)","Free","05:00 hours","Any","Grade 10 with No Experience required","1 year relevant experience","Hindi","This course addresses the domain NOSs. This individual in the job role receives & stores goods in retail operations, processes customer orders and delivers the products to the customers at their premises in Retail operations and e-commerce working environment.  S/he engages with the customer for various transactions like accepting and processing payments, customer queries, and product returns. ","https://www.skillindiadigital.gov.in/courses/detail/4c98ace6-c147-4caf-8827-5fdeb6b0b9e7",null,null,null,null,null,null,null,null,null
412,"Retailers Association's","Distributor salesman(Version 2.0 & 3.0 )","Free","04:57 hours","Any","Grade 10 with No Experience required.","Previous relevant Qualification of NSQF Level 2 with 1 year relevant experience","English","This course addresses the domain NOSs. Individuals in this position visits retail/wholesale outlets as per daily route plan & makes sales call using relevant selling aids like handhelds to increase productivity and achieve sales targets, demonstrate commanding knowledge of the trade being serviced by him/her and the existing competitors. He/she identifies new outlets to increase sales of the products and provide service facilitating resolution of trade problems related to products and company being represented by the salesman. He/she creates demand at point of sale by creating visibility for products putting POSM (Point of sales material) and merchandising elements like counter top/shelves or racks depending on the category of product he/she sells. Hence, he/she needs to influence & own the execution standards of availability and in store visibility.","https://www.skillindiadigital.gov.in/courses/detail/da7bdf56-63d2-4094-81b7-3bfa974e1d85",null,null,null,null,null,null,null,null,null
413,"Retailers Association's","Distributor Salesman(Hindi)(V2.0 & 3.0 )","Free","04:57 hours","Any","Grade 10 with No Experience required.","Previous relevant Qualification of NSQF Level 2 with 1 year relevant experience","Hindi","This course addresses the domain NOSs. Individuals in this position visits retail/wholesale outlets as per daily route plan & makes sales call using relevant selling aids like handhelds to increase productivity and achieve sales targets, demonstrate commanding knowledge of the trade being serviced by him/her and the existing competitors. He/she identifies new outlets to increase sales of the products and provide service facilitating resolution of trade problems related to products and company being represented by the salesman. He/she creates demand at point of sale by creating visibility for products putting POSM (Point of sales material) and merchandising elements like counter top/shelves or racks depending on the category of product he/she sells. Hence, he/she needs to influence & own the execution standards of availability and in store visibility.","https://www.skillindiadigital.gov.in/courses/detail/ca6cee21-b934-4166-b6a9-0ceb703ef94f",null,null,null,null,null,null,null,null,null
414,"Telecom","Tower Technician","Paid, Rs.199","03:00 hours","18+","11th grade pass","NA","English","Tower Technician is responsible for the overall up-time of the site. He is to undertake on-site preventing and corrective maintenance and should be able to react to the alarms/alerts and take appropriate actions to mitigate the issue, and if required, escalate the issues to his superiors. He is to account for onsite equipment's, spares and diesel storage/filling and maintain appropriate records. He is responsible for overall hygiene of the site.","https://www.skillindiadigital.gov.in/courses/detail/e46cfabf-1fb0-4faa-83e7-423b6753c2b8",null,null,null,null,null,null,null,null,null
415,"Telecom","Telemedicine","Paid, Rs.199","03:00 hours","18+","10th grade pass","NA","English","""IoT in Telemedicine"" is an innovative course that explores the intersection of Internet of Things (IoT) technology and telemedicine, revolutionizing healthcare delivery. In this course, students will delve into the principles, applications, and challenges of utilizing IoT devices and connectivity in the field of telemedicine. They will learn how IoT enables the seamless collection and transmission of patient data, remote monitoring, and real-time communication between healthcare providers and patients and securing  IoT-based telemedicine solutions.","https://www.skillindiadigital.gov.in/courses/detail/bce826f0-ada8-490b-adfc-e16ae09f849a",null,null,null,null,null,null,null,null,null
416,"Telecom","Optical Fibre Splicer (OFS)","Paid, Rs.199","04:00 hours","18+","9th grade pass","NA","English","The individual in this job ensures efficient splicing of the optical fiber cables and test effectiveness and record the test results.","https://www.skillindiadigital.gov.in/courses/detail/a0b72b8f-77c6-4297-b358-6a05f28caf11",null,null,null,null,null,null,null,null,null
417,"Telecom","Line Assembler","Paid, Rs.199","02:00 hours","18+","11th grade pass","NA","English","Introduction to assembly lines and their historical significance.,Design and layout considerations for efficient assembly lines.,Overview of assembly line equipment, tools, and automation.,Standard operating procedures, workflow, and employee training.,Material handling, logistics, and Just-In-Time (JIT) inventory systems.,Quality assurance, control, and continuous improvement methodologies.,Troubleshooting, maintenance, and downtime reduction strategies.,Human resource management and motivation in line assembly.,Environmental sustainability practices in assembly lines.,Case studies, industry applications, and future trends in line assembly.","https://www.skillindiadigital.gov.in/courses/detail/271b80cc-e1af-4c8c-bcdb-203bdb2aa7dd",null,null,null,null,null,null,null,null,null
418,"Telecom","In-store Promoter","Paid, Rs.199","02:00 hours","18+","9th grade pass","NA","English","The individual in this job role is responsible for demonstrating and highlighting the product Features,,Advantages and Benefits (FAB), approach to customers, offering them the opportunity to touch and feel the,products on display and responding to queries on products and services.","https://www.skillindiadigital.gov.in/courses/detail/9cbf7729-a5ac-41ac-b148-beee8f51a0f0",null,null,null,null,null,null,null,null,null
419,"Telecom","Handheld Device (Handset & Tablet) Technician","Paid, Rs.199","04:00 hours","18+","11th grade pass","NA","English","The individual in this job is responsible for repairing handsets for various hardware and software issues under supervision of a senior. The individual is responsible for helping seniors in testing the handset for adequacy post repair/service.","https://www.skillindiadigital.gov.in/courses/detail/d375a37d-a475-4e0e-9492-0e7765b95f1e",null,null,null,null,null,null,null,null,null
420,"Telecom","Fiber to-the Home (FTTH/X) Installer","Paid, Rs.199","04:00 hours","18+","10th grade pass","NA","English","An individual in this job role will undertake on-ground implementation of fiber cabling from drop point,Optical Line Test Set (OLTS) to the last mile connectivity i.e. customer premise (termination point). The,work will include fiber splicing and termination at every distribution point. The work will follow the,structured cabling norms and compliance to telecommunication cabling guidelines on the subject","https://www.skillindiadigital.gov.in/courses/detail/f46c007f-4495-4846-9fa0-c701df9a2996",null,null,null,null,null,null,null,null,null
421,"Telecom","Fiber Laying","Paid, Rs.199","04:00 hours","18+","8th Grade","NA","English","The individual in this job coordinates the activities for installation and commissioning of Optical Fiber Cables (OFCs) and maintains the up-time and quality of the network segment (both optical media & equipment) by undertaking periodic preventive maintenance activities and ensuring effective fault management in case of fault occurrence.","https://www.skillindiadigital.gov.in/courses/detail/2ef1b821-71cd-49ac-b62d-9db29ed91531",null,null,null,null,null,null,null,null,null
422,"Telecom","Distributer Sales Representative","Paid, Rs.199","04:00 hours","18+","9th grade pass","NA","English","Individual in this role needs to generate sales for mobile handset &related accessories, steer sales as per organization's target matrix, increase width &depth of distribution and work in a specified area as per the Beat Plan &Route Plan. Individual is also responsible for handling/escalating retailer's complaints & queries as per the organizational policies and must be able to handle cash related transactions.","https://www.skillindiadigital.gov.in/courses/detail/81a584d4-866a-4f2e-82ea-649a7a1b9430",null,null,null,null,null,null,null,null,null
423,"Telecom","Concept of Drone Piloting & System","Paid, Rs.199","03:00 hours","18+","10th grade pass","NA","English","The unit is about preparing and operating 5G enabled drone systems for various purposes and perform,repair and maintenance of Drones.","https://www.skillindiadigital.gov.in/courses/detail/2c249b70-f0ee-4bfa-9c8b-753ff2937f52",null,null,null,null,null,null,null,null,null
424,"Telecom","Broadband Technician","Paid, Rs.199","03:00 hours","18+","11th grade pass","NA","English","Broadband Technician is responsible for installation, configuration and testing of CPE (modem, routers and switches) for broadband access. He also establishes connectivity between CPE and end-user device (CPU, Laptop, tablets, Smart/IP TV etc.) at customer premises and carries out basic trouble-shooting for identifying, localizing & rectifying cable, connectivity and equipment fault in coordination with NOC.","https://www.skillindiadigital.gov.in/courses/detail/7f38d747-de20-444f-8c1b-18f9c072d234",null,null,null,null,null,null,null,null,null
425,"Agriculture","SKUAST Courses",null,null,null,null,null,null,null,null,null,"Development of Seed and Seed Multiplication unit","1.1 Certified Seed Producer of Field Crops, Vegetable Crops & Hybrids","1.1.1 Commercial seed production of economically important oilseed crops","https://www.youtube.com/watch?v=W71xFcCQ8aQ","https://www.youtube.com/watch?v=leHBDP7JsHU",null,null,"KASHMIRI & URDU"
426,"Agriculture","SKUAST Courses",null,null,null,null,null,null,null,null,null,"Development of Seed and Seed Multiplication unit","1.1 Certified Seed Producer of Field Crops, Vegetable Crops & Hybrids","1.1.2 Hybrid seed production in maize","https://www.youtube.com/watch?v=gfla8bL6sKw","https://www.youtube.com/watch?v=tg3pUyGV7t8",null,null,"KASHMIRI & URDU"
427,"Agriculture","SKUAST Courses",null,null,null,null,null,null,null,null,null,"Development of Seed and Seed Multiplication unit","1.1 Certified Seed Producer of Field Crops, Vegetable Crops & Hybrids","1.1.3 Importance of Seed Quality Its Standards & Seed Act","https://www.youtube.com/watch?v=hqMH-Tg7TOc","https://www.youtube.com/watch?v=pG7KB3yz43U",null,null,"KASHMIRI & URDU"
428,"Agriculture","SKUAST Courses",null,null,null,null,null,null,null,null,null,"Development of Seed and Seed Multiplication unit","1.1 Certified Seed Producer of Field Crops, Vegetable Crops & Hybrids","1.1.4 Seed production techniques of major vegetable crops of Jammu and Kashmir region.","https://www.youtube.com/watch?v=SbL4SF8Lvx4","https://www.youtube.com/watch?v=JgmO8RwQBtg",null,null,"KASHMIRI & URDU"
429,"Agriculture","SKUAST Courses",null,null,null,null,null,null,null,null,null,"Development of Seed and Seed Multiplication unit","1.1 Certified Seed Producer of Field Crops, Vegetable Crops & Hybrids","1.1.5 Seed production technology in high value Low volume crops: procedures","https://www.youtube.com/watch?v=IFv8Pvjm6uM","https://www.youtube.com/watch?v=JgmO8RwQBtg",null,null,"KASHMIRI & URDU"
430,"Agriculture","SKUAST Courses",null,null,null,null,null,null,null,null,null,"Development of Seed and Seed Multiplication unit","1.1 Certified Seed Producer of Field Crops, Vegetable Crops & Hybrids","1.1.6 Quality seed Production in Pulse crops","https://www.youtube.com/watch?v=RTaE9untH0k","https://www.youtube.com/watch?v=Fz6BeoT-sSo",null,null,"KASHMIRI & URDU"
431,"Agriculture","SKUAST Courses",null,null,null,null,null,null,null,null,null,"Development of Seed and Seed Multiplication unit","1.1 Certified Seed Producer of Field Crops, Vegetable Crops & Hybrids","1.1.7 Business Plan","https://www.youtube.com/watch?v=FMDhUevEShI","https://www.youtube.com/watch?v=cjt4ah39p2U",null,null,"KASHMIRI & URDU"
432,"Agriculture","SKUAST Courses",null,null,null,null,null,null,null,null,null,"Development of Seed and Seed Multiplication unit","1.1 Certified Seed Producer of Field Crops, Vegetable Crops & Hybrids","1.1.8 Financial Plan","https://www.youtube.com/watch?v=am5R7flvf38","https://www.youtube.com/watch?v=AhBfakUMDds",null,null,"KASHMIRI & URDU"
433,"Agriculture","SKUAST Courses",null,null,null,null,null,null,null,null,null,"Development of Seed and Seed Multiplication unit","1.2 Seed Processing Unit","1.2.1 Post-Harvest Handling, Processing, Storage and Branding of Seed","https://www.youtube.com/watch?v=9M9Hy7RCNe0","https://www.youtube.com/watch?v=f5VBcLm5Z3Q",null,null,"KASHMIRI & URDU"
434,"Agriculture","SKUAST Courses",null,null,null,null,null,null,null,null,null,"Development of Seed and Seed Multiplication unit","1.2 Seed Processing Unit","1.2.2 Vegetable Seed Extraction and Drying","https://www.youtube.com/watch?v=jZnYbocAvno","https://www.youtube.com/watch?v=PWoLxjQ0ovA",null,null,"KASHMIRI & URDU"
435,"Agriculture","SKUAST Courses",null,null,null,null,null,null,null,null,null,"Development of Seed and Seed Multiplication unit","1.2 Seed Processing Unit","1.2.3 Seed Processing Technology and its importance","https://www.youtube.com/watch?v=FrbQ7HCRApg","https://www.youtube.com/watch?v=PPAqOw7ee2c",null,null,"KASHMIRI & URDU"
436,"Agriculture","SKUAST Courses",null,null,null,null,null,null,null,null,null,"Development of Seed and Seed Multiplication unit","1.2 Seed Processing Unit","1.2.4 Business plan","https://www.youtube.com/watch?v=j3sRkkcMK10","https://www.youtube.com/watch?v=BwEO90R-X2c",null,null,"KASHMIRI & URDU"
437,"Agriculture","SKUAST Courses",null,null,null,null,null,null,null,null,null,"Development of Seed and Seed Multiplication unit","1.2 Seed Processing Unit","1.2.5 Financial plan","https://www.youtube.com/watch?v=7qC1copDEFM","https://www.youtube.com/watch?v=2MRG4bk_YcU",null,null,"KASHMIRI & URDU"
438,"Agriculture","SKUAST Courses",null,null,null,null,null,null,null,null,null,"Promotion of Niche crops","2.1 Production of Quality Planting Material of Niche Crops (Kala Zeera, Saffron, Red Rice, Mushkbudji, Kashmiri Chilli, Hill Garlic, Baderwah Rajmash & Peacan Nut)","2.1.1 Mushkibudji from Seed to Market","https://www.youtube.com/watch?v=wxYRDQ_JppM","https://www.youtube.com/watch?v=pkIoTJELpSA",null,null,"KASHMIRI & URDU"
439,"Agriculture","SKUAST Courses",null,null,null,null,null,null,null,null,null,"Promotion of Niche crops","2.1 Production of Quality Planting Material of Niche Crops (Kala Zeera, Saffron, Red Rice, Mushkbudji, Kashmiri Chilli, Hill Garlic, Baderwah Rajmash & Peacan Nut)","2.1.2 Upscaling the production of red rice for food grain, economic and nutritional security of farmers","https://www.youtube.com/watch?v=Ag60xwJb60w","https://www.youtube.com/watch?v=0NCaorFhkeE",null,null,"KASHMIRI & URDU"
440,"Agriculture","SKUAST Courses",null,null,null,null,null,null,null,null,null,"Promotion of Niche crops","2.1 Production of Quality Planting Material of Niche Crops (Kala Zeera, Saffron, Red Rice, Mushkbudji, Kashmiri Chilli, Hill Garlic, Baderwah Rajmash & Peacan Nut)","2.1.3 Tuber Development and Production Technologies of Kalazeera","https://www.youtube.com/watch?v=rRvzH_v_Thy","https://www.youtube.com/watch?v=hoYddVQymXY",null,null,"KASHMIRI & URDU"
441,"Agriculture","SKUAST Courses",null,null,null,null,null,null,null,null,null,"Promotion of Niche crops","2.1 Production of Quality Planting Material of Niche Crops (Kala Zeera, Saffron, Red Rice, Mushkbudji, Kashmiri Chilli, Hill Garlic, Baderwah Rajmash & Peacan Nut)","2.1.4 Agro-Techniques of raising Kashmiri Chilli","https://www.youtube.com/watch?v=u2hJO-RZX1M","https://www.youtube.com/watch?v=23h4npNK39A",null,null,"KASHMIRI & URDU"
442,"Agriculture","SKUAST Courses",null,null,null,null,null,null,null,null,null,"Promotion of Niche crops","2.1 Production of Quality Planting Material of Niche Crops (Kala Zeera, Saffron, Red Rice, Mushkbudji, Kashmiri Chilli, Hill Garlic, Baderwah Rajmash & Peacan Nut)","2.1.5 Nursery Management and Production System Module for Saffron","https://www.youtube.com/watch?v=M7Gimq3rFBQ","https://www.youtube.com/watch?v=LKCx0xR33_c",null,null,"KASHMIRI & URDU"
443,"Agriculture","SKUAST Courses",null,null,null,null,null,null,null,null,null,"Promotion of Niche crops","2.1 Production of Quality Planting Material of Niche Crops (Kala Zeera, Saffron, Red Rice, Mushkbudji, Kashmiri Chilli, Hill Garlic, Baderwah Rajmash & Peacan Nut)","2.1.6 Funding Plan for Implementation of Niche Crops","https://www.youtube.com/watch?v=ubIY1B_6VN8","https://www.youtube.com/watch?v=B5A7k3EWajs",null,null,"KASHMIRI & URDU"
444,"Agriculture","SKUAST Courses",null,null,null,null,null,null,null,null,null,"Promotion of Niche crops","2.1 Production of Quality Planting Material of Niche Crops (Kala Zeera, Saffron, Red Rice, Mushkbudji, Kashmiri Chilli, Hill Garlic, Baderwah Rajmash & Peacan Nut)","2.1.7 Business Plan of Niche Crops for Revenue Generation","https://www.youtube.com/watch?v=3crxpfg52J4","https://www.youtube.com/watch?v=feWhFKiN-CY",null,null,"KASHMIRI & URDU"
445,"Agriculture","SKUAST Courses",null,null,null,null,null,null,null,null,null,"Promotion of Vegetables/exotic vegetables","3.1. Protected Cultivation of Vegetable Crops","3.1.1 Scope and Importance of protected cultivation","https://www.youtube.com/watch?v=W2kWzRZ-ibU","https://www.youtube.com/watch?v=r__N9rOkFgQ",null,null,"KASHMIRI & URDU"
446,"Agriculture","SKUAST Courses",null,null,null,null,null,null,null,null,null,"Promotion of Vegetables/exotic vegetables","3.1. Protected Cultivation of Vegetable Crops","3.1.2 Types of Protected Structures","https://www.youtube.com/watch?v=VlREghktltY","https://www.youtube.com/watch?v=vmcMD2Y5wPg",null,null,"KASHMIRI & URDU"
447,"Agriculture","SKUAST Courses",null,null,null,null,null,null,null,null,null,"Promotion of Vegetables/exotic vegetables","3.1. Protected Cultivation of Vegetable Crops","3.1.3 Biotic and abiotic stress management under protected Cultivation","https://www.youtube.com/watch?v=YDunif-AR1s","https://www.youtube.com/watch?v=imSF9Hg8T3Y",null,null,"KASHMIRI & URDU"
448,"Agriculture","SKUAST Courses",null,null,null,null,null,null,null,null,null,"Promotion of Vegetables/exotic vegetables","3.1. Protected Cultivation of Vegetable Crops","3.1.4 Principles of greenhouse vegetable cultivation","https://www.youtube.com/watch?v=EhBRSw4942w","https://www.youtube.com/watch?v=FOlRyKgMUA0",null,null,"KASHMIRI & URDU"
449,"Agriculture","SKUAST Courses",null,null,null,null,null,null,null,null,null,"Promotion of Vegetables/exotic vegetables","3.1. Protected Cultivation of Vegetable Crops","3.1.5 Suitability of vegetable crops for greenhouse Cultivation","https://www.youtube.com/watch?v=Hpz6G-RyEDM","https://www.youtube.com/watch?v=p8CCrmDYj4k",null,null,"KASHMIRI & URDU"
450,"Agriculture","SKUAST Courses",null,null,null,null,null,null,null,null,null,"Promotion of Vegetables/exotic vegetables","3.1. Protected Cultivation of Vegetable Crops","3.1.6 Nursery raising technology under green house as an Enterprise for entrepreneurs","https://www.youtube.com/watch?v=1lHdCO19s04","https://www.youtube.com/watch?v=bl7MUCSDAlw",null,null,"KASHMIRI & URDU"
451,"Agriculture","SKUAST Courses",null,null,null,null,null,null,null,null,null,"Promotion of Vegetables/exotic vegetables","3.1. Protected Cultivation of Vegetable Crops","3.1.7 Soil-less cultivation of vegetables","https://www.youtube.com/watch?v=16_goI_Ay3g","https://www.youtube.com/watch?v=lcboPTwS9m8",null,null,"KASHMIRI & URDU"
452,"Agriculture","SKUAST Courses",null,null,null,null,null,null,null,null,null,"Promotion of Vegetables/exotic vegetables","3.1. Protected Cultivation of Vegetable Crops","3.1.8 Techniques of grafting and Plant architecture Maintenance","https://www.youtube.com/watch?v=XRemyiBsPBY","https://www.youtube.com/watch?v=5DkbeLwcBtU",null,null,"KASHMIRI & URDU"
453,"Agriculture","SKUAST Courses",null,null,null,null,null,null,null,null,null,"Promotion of Vegetables/exotic vegetables","3.1. Protected Cultivation of Vegetable Crops","3.1.9 Green house technology for high value vegetable Production under Greenhouse","https://www.youtube.com/watch?v=yhYEMG-RgkU","https://www.youtube.com/watch?v=v1a32Bh8EBk",null,null,"KASHMIRI & URDU"
454,"Agriculture","SKUAST Courses",null,null,null,null,null,null,null,null,null,"Promotion of Vegetables/exotic vegetables","3.1. Protected Cultivation of Vegetable Crops","3.1.10 Business plan","https://www.youtube.com/watch?v=qsbR6NQrfDk","https://www.youtube.com/watch?v=pF4eXKWpV00",null,null,"KASHMIRI & URDU"
455,"Agriculture","SKUAST Courses",null,null,null,null,null,null,null,null,null,"Promotion of Vegetables/exotic vegetables","3.1. Protected Cultivation of Vegetable Crops","3.1.11 Financial plan","https://www.youtube.com/watch?v=rXNgMBUGcYw","https://www.youtube.com/watch?v=lP1eWozHjzk",null,null,"KASHMIRI & URDU"
456,"Agriculture","SKUAST Courses",null,null,null,null,null,null,null,null,null,"Promotion of Vegetables/exotic vegetables","3.2.Open Field Vegetable Production","3.2.1 Commercial vegetable production: its importance and scope","https://www.youtube.com/watch?v=B3BZGLl-PvM","https://www.youtube.com/watch?v=XvPEZkNCSig",null,null,"KASHMIRI & URDU"
457,"Agriculture","SKUAST Courses",null,null,null,null,null,null,null,null,null,"Promotion of Vegetables/exotic vegetables","3.2.Open Field Vegetable Production","3.2.2 Hi-Tech nursery for quality transplant production","https://www.youtube.com/watch?v=zj7YGVnRsO4","https://www.youtube.com/watch?v=rfkLo8NvG1o",null,null,"KASHMIRI & URDU"
458,"Agriculture","SKUAST Courses",null,null,null,null,null,null,null,null,null,"Promotion of Vegetables/exotic vegetables","3.2.Open Field Vegetable Production","3.2.3 Agro-techniques for production of commercially important Kharif and Rabi vegetables","https://www.youtube.com/watch?v=0Lt4-Zj1KzI","https://www.youtube.com/watch?v=KLOKhgYz8J0",null,null,"KASHMIRI & URDU"
459,"Agriculture","SKUAST Courses",null,null,null,null,null,null,null,null,null,"Promotion of Vegetables/exotic vegetables","3.2.Open Field Vegetable Production","3.2.4 Production techniques for raising of export oriented high value exotic vegetable crops","https://www.youtube.com/watch?v=Av4pdbu7VbA","https://www.youtube.com/watch?v=RZliwvY3dJ4",null,null,"KASHMIRI & URDU"
