"Sr. No.","Sector","Name Of Course","Online","Duration","Required Age","Minimum Education","Requisites","Language","Required Description","For Certification Advanced Module","Video Link To Embed","Project Under Hadp","Skill Training Course","Title Of Lectures","Link Kashmiri Video","Link Urdu Video","Link Dogri Video","Link Hindi Video","Course Language"
30,"IT-ITeS","Analyze Data in a Relational Data Warehouse","Free","01:29 hours","18+","12th Pass, ITI, Diploma","data-analyst,data-engineer,azure-synapse-analytics","English","Relational data warehouses are a core element of most enterprise Business Intelligence (BI) solutions, and are used as the basis for data models, reports, and analysis.","https://www.skillindiadigital.gov.in/courses/detail/e083c84a-ae11-474b-ad93-4a7d6782cd68",null,null,null,null,null,null,null,null,null
31,"IT-ITeS","Analytical processing using Azure Synapse Analytics","Free","00:19 hours","18+","12th Pass, ITI, Diploma","data-engineer,azure-synapse-analytics","English","Plan hybrid transactional and analytical processing using Azure Synapse Analytics","https://www.skillindiadigital.gov.in/courses/detail/befc940c-1ed9-478f-841c-4d132447dd89",null,null,null,null,null,null,null,null,null
32,"IT-ITeS","PCAP  Programming Essentials In Python","Free","75:00 hours","Above 18","12th Pass, ITI, Diploma","NA","English","The aim of the course is to familiarize students with general computer programming concepts like conditional execution, functions, loops, python programming language syntax, semantics, and the runtime environment, as well as with general coding techniques and object oriented programming.","https://www.skillindiadigital.gov.in/courses/detail/1e875ef1-a7d0-4c50-88e1-a3d048e3c1f7",null,null,null,null,null,null,null,null,null
33,"IT-ITeS","Networking Essentials","Free","70:00 hours","Above 18","12th Pass, ITI, Diploma","NA","English","The Cisco Networking Academy's Networking Essentials 2.0 course provides learners with a broad foundational understanding of networking. It is suitable for anyone interested in a career in IT, or a related career pathway.  Networking Essentials 2.0 is self-paced. The primary emphasis is on networking knowledge with a small amount of  basic skills that are useful for a home or SOHO network.","https://www.skillindiadigital.gov.in/courses/detail/32f29b21-d6ef-428d-904f-b9ddec5ba39e",null,null,null,null,null,null,null,null,null
34,"IT-ITeS","NDG Linux Essentials","Free","70:00 hours","Above 18","12th Pass, ITI, Diploma","NA","English"," Linux has evolved into the most reliable operating system on the planet. It's used for embedded systems to virtually all supercomputers for a good reason. NDG Linux Essentials quickly builds your Linux knowledge and prepares you for the Linux Professional Institute Linux Essentials certificate, your proof to employers that you know Linux! Many concepts in this course are covered at a more demanding pace in NDG Linux I.","https://www.skillindiadigital.gov.in/courses/detail/6b60b1b8-5351-4020-980b-500bf087cf96",null,null,null,null,null,null,null,null,null
35,"IT-ITeS","Security, Scalability, and Availability in SQL Server 2022","Free","01:00 hours","Above 18","12th Pass, ITI, Diploma","data-scientist,sql-server","English","This module introduces new capabilities in security, scalability, and availability in SQL Server 2022.","https://www.skillindiadigital.gov.in/courses/detail/ec5d8412-03cb-45a9-aabb-dbab01d3cb5d",null,null,null,null,null,null,null,null,null
36,"IT-ITeS","Monitor responses in Azure Cosmos DB for NoSQL","Free","00:51 hours","Above 18","12th Pass, ITI, Diploma","intermediate,developer,azure-cosmos-db","English","We will learn to use a rich set of REST response codes returned by Azure Cosmos DB request to help you analyze potential issues.","https://www.skillindiadigital.gov.in/courses/detail/341f4651-1281-4b9f-be6a-8c0253f72de3",null,null,null,null,null,null,null,null,null
37,"IT-ITeS","Monitor Windows Server IaaS Virtual Machines and Hybrid Instances","Free","00:46 hours","Above 18","12th Pass, ITI, Diploma","solution-architect,technology-manager, azure-cloud-shell,azure-monitor","English","Monitor Windows Server IaaS Virtual Machines and hybrid instances","https://www.skillindiadigital.gov.in/courses/detail/f2d6ac46-3e12-4881-829a-6cc7c7bf308a",null,null,null,null,null,null,null,null,null
38,"IT-ITeS","Design migrations","Free","00:40 hours","Above 18","12th Pass, ITI, Diploma","azure-data-box-family,azure-database-migration,azure-migrate","English","Azure Architects design and recommend migration solutions.","https://www.skillindiadigital.gov.in/courses/detail/c156664d-ed74-44a3-bd26-1be9d0c98712",null,null,null,null,null,null,null,null,null
39,"IT-ITeS","Migrate on-premises Windows Server instances to Azure IaaS virtual machines","Free","00:41 hours","Above 18","12th Pass, ITI, Diploma","solution-architect,technology-manager,azure,azure-cloud-shell,azure-portal","English","You'll be able to plan a migration and select appropriate server migration tools. You will also learn how to use Azure Migrate, how to assess physical servers, and how to migrate those servers.","https://www.skillindiadigital.gov.in/courses/detail/f87336e0-7eeb-4cae-88e3-4c3613a6c46e",null,null,null,null,null,null,null,null,null
40,"IT-ITeS","Count the number of Moon rocks by type using Python","Free","00:32 hours","Above 18","12th Pass, ITI, Diploma","data-scientist,azure","English","Use Python to make a simple program to count the number of each type of space rock.","https://www.skillindiadigital.gov.in/courses/detail/722e1e61-558f-4c3e-8f40-c1e9afb6168e",null,null,null,null,null,null,null,null,null
41,"IT-ITeS","Python Error Handling","Free","00:31 hours","18+","12th Pass, ITI, Diploma","developer","English","Use effective techniques for error handling in Python. Catching exceptions, raising new ones, and updating error messages are essential for robust Python projects.","https://www.skillindiadigital.gov.in/courses/detail/aa8021dd-35d8-403c-b084-278ea62b79e4",null,null,null,null,null,null,null,null,null
